property_type,price,location,latitude,longitude,baths,bedrooms,date_added,area_sqft
House,450000000,Cantt,24.889395,67.098627,7,6,2019-06-20,21780.0
House,35000000,Gulistan-e-Jauhar,24.91498756,67.13870239,8,6,2019-07-18,4356.0
Flat,21000000,DHA Defence,24.81436729,67.07208252,3,3,2018-10-20,2423.025
House,6500000,Malir,24.882302,67.184677,1,2,2019-03-10,871.2
House,13000000,Gadap Town,25.018156,67.066864,4,4,2019-07-18,2613.6
House,32000000,DHA Defence,24.81830902,67.08087802,4,4,2019-06-20,1089.0
House,4000000,Malir,24.90008813,67.20579822,3,7,2018-10-20,871.2
Flat,16500000,Gulshan-e-Iqbal Town,24.92349243,67.0817337,4,4,2019-06-05,2668.05
House,110000000,DHA Defence,24.805045,67.064323,6,6,2019-05-06,5445.0
House,12800000,Scheme 33,24.964623,67.168558,6,5,2019-06-14,2613.6
Flat,30000000,Cantt,24.937425,67.182856,3,3,2019-06-14,2776.95
Flat,34000000,Cantt,24.937425,67.182856,4,3,2019-06-14,3103.65
Flat,29500000,Cantt,24.937425,67.182856,3,3,2019-06-14,3103.65
Flat,30000000,Cantt,24.937425,67.182856,3,3,2019-06-14,3103.65
Flat,37500000,Cantt,24.937425,67.182856,4,4,2019-06-14,3566.475
Flat,45000000,Bath Island,24.83566,67.0286,3,3,2019-02-16,2423.025
House,17000000,Gulshan-e-Iqbal Town,24.939604,67.095909,5,4,2019-03-19,1306.8
Flat,12500000,Gulshan-e-Iqbal Town,24.920535,67.08312,3,3,2019-06-05,2069.1
Flat,5000000,Gulshan-e-Iqbal Town,24.95618,67.115135,2,2,2018-11-19,1470.15
Flat,4100000,Abul Hassan Isphani Road,24.941817,67.098056,2,2,2019-06-07,871.2
House,40000000,Nazimabad,24.906134,67.023983,8,11,2019-02-17,3648.15
Flat,28000000,Cantt,24.937425,67.182856,3,3,2019-06-14,3103.65
Flat,32500000,Cantt,24.937425,67.182856,3,3,2019-06-14,3103.65
