property_type,price,location,latitude,longitude,baths,bedrooms,date_added,area_sqft,price_per_sqft,affordability_years,estimated_price_2026,affordability_years_2026,affordability_change,market_tier,price_per_marla,Month_Year
House,35000000,Gulistan-e-Jauhar,24.91498756,67.13870239,8,6,2019-07-18,4356.0,8034.894398530762,132.57575757575756,85085000.0,164.89341085271317,32.31765327695561,Middle Class,2187500.0,2019-07
Flat,21000000,DHA Defence,24.81436729,67.07208252,3,3,2018-10-20,2423.025,8666.852384932057,79.54545454545455,51051000.0,98.93604651162791,19.39059196617336,Elite,2359550.5617977525,2018-10
House,6500000,Malir,24.882302,67.184677,1,2,2019-03-10,871.2,7460.973370064279,24.62121212121212,15801500.0,30.623062015503876,6.001849894291755,Affordable,2031250.0,2019-03
House,13000000,Gadap Town,25.018156,67.066864,4,4,2019-07-18,2613.6,4973.98224670952,49.24242424242424,31603000.0,61.24612403100775,12.00369978858351,Affordable,1354166.6666666667,2019-07
House,32000000,DHA Defence,24.81830902,67.08087802,4,4,2019-06-20,1089.0,29384.75665748393,121.21212121212122,77792000.0,150.75968992248062,29.5475687103594,Elite,8000000.0,2019-06
House,4000000,Malir,24.90008813,67.20579822,3,7,2018-10-20,871.2,4591.368227731864,15.151515151515152,9724000.0,18.844961240310077,3.693446088794925,Affordable,1250000.0,2018-10
Flat,16500000,Gulshan-e-Iqbal Town,24.92349243,67.0817337,4,4,2019-06-05,2668.05,6184.291898577612,62.5,40111500.0,77.73546511627907,15.235465116279073,Middle Class,1683673.469387755,2019-06
House,110000000,DHA Defence,24.805045,67.064323,6,6,2019-05-06,5445.0,20202.0202020202,416.6666666666667,267410000.0,518.2364341085271,101.56976744186039,Elite,5500000.0,2019-05
House,12800000,Scheme 33,24.964623,67.168558,6,5,2019-06-14,2613.6,4897.459442913989,48.484848484848484,31116800.0,60.30387596899225,11.819027484143767,Upper Middle,1333333.3333333335,2019-06
Flat,30000000,Cantt,24.937425,67.182856,3,3,2019-06-14,2776.95,10803.219359369094,113.63636363636364,72930000.0,141.3372093023256,27.70084566596195,Elite,2941176.4705882357,2019-06
Flat,34000000,Cantt,24.937425,67.182856,4,3,2019-06-14,3103.65,10954.843490728657,128.78787878787878,82654000.0,160.18217054263565,31.394291754756864,Elite,2982456.1403508773,2019-06
Flat,29500000,Cantt,24.937425,67.182856,3,3,2019-06-14,3103.65,9504.937734602807,111.74242424242425,71714500.0,138.98158914728683,27.239164904862577,Elite,2587719.298245614,2019-06
Flat,30000000,Cantt,24.937425,67.182856,3,3,2019-06-14,3103.65,9666.038374172345,113.63636363636364,72930000.0,141.3372093023256,27.70084566596195,Elite,2631578.947368421,2019-06
Flat,37500000,Cantt,24.937425,67.182856,4,4,2019-06-14,3566.475,10514.583727630223,142.04545454545453,91162500.0,176.67151162790697,34.626057082452434,Elite,2862595.419847328,2019-06
Flat,45000000,Bath Island,24.83566,67.0286,3,3,2019-02-16,2423.025,18571.826539140126,170.45454545454547,109395000.0,212.00581395348837,41.5512684989429,Elite,5056179.775280898,2019-02
House,17000000,Gulshan-e-Iqbal Town,24.939604,67.095909,5,4,2019-03-19,1306.8,13008.876645240282,64.39393939393939,41327000.0,80.09108527131782,15.697145877378432,Middle Class,3541666.666666667,2019-03
Flat,12500000,Gulshan-e-Iqbal Town,24.920535,67.08312,3,3,2019-06-05,2069.1,6041.273983857716,47.34848484848485,30387500.0,58.89050387596899,11.542019027484137,Middle Class,1644736.8421052631,2019-06
Flat,5000000,Gulshan-e-Iqbal Town,24.95618,67.115135,2,2,2018-11-19,1470.15,3401.013502023603,18.939393939393938,12155000.0,23.5562015503876,4.616807610993661,Middle Class,925925.9259259258,2018-11
Flat,4100000,Abul Hassan Isphani Road,24.941817,67.098056,2,2,2019-06-07,871.2,4706.152433425161,15.530303030303031,9967100.0,19.316085271317828,3.7857822410147968,Other,1281250.0,2019-06
House,40000000,Nazimabad,24.906134,67.023983,8,11,2019-02-17,3648.15,10964.461439359675,151.5151515151515,97240000.0,188.4496124031008,36.934460887949285,Middle Class,2985074.6268656715,2019-02
Flat,28000000,Cantt,24.937425,67.182856,3,3,2019-06-14,3103.65,9021.63581589419,106.06060606060606,68068000.0,131.91472868217053,25.85412262156447,Elite,2456140.350877193,2019-06
Flat,32500000,Cantt,24.937425,67.182856,3,3,2019-06-14,3103.65,10471.54157202004,123.10606060606061,79007500.0,153.11531007751938,30.009249471458773,Elite,2850877.192982456,2019-06
Flat,40000000,Cantt,24.937425,67.182856,4,4,2019-06-14,3593.7,11130.589642986337,151.5151515151515,97240000.0,188.4496124031008,36.934460887949285,Elite,3030303.0303030303,2019-06
House,59500000,Malir,24.956491,67.219341,5,5,2019-06-05,3811.5,15610.651974288337,225.37878787878788,144644500.0,280.3187984496124,54.94001057082454,Affordable,4250000.0,2019-06
House,71500000,Malir,24.956491,67.219341,5,5,2019-06-05,5445.0,13131.31313131313,270.8333333333333,173816500.0,336.85368217054264,66.02034883720933,Affordable,3575000.0,2019-06
House,55000000,Malir,24.956491,67.219341,4,4,2019-05-06,3811.5,14430.01443001443,208.33333333333334,133705000.0,259.11821705426354,50.784883720930196,Affordable,3928571.4285714286,2019-05
