player,overs,mdns,runs,wkts,econ,team,inns,opposition,ground,match_date,match_year
RS Bopara,4.0,0,16,6,4.0,Karachi Kings,2,Lahore Qalandars,Sharjah,2016-02-12,2016
Faheem Ashraf,4.0,0,19,6,4.75,Islamabad United,2,Lahore Qalandars,Karachi,2019-03-09,2019
Umar Gul,4.0,0,24,6,6.0,Multan Sultans,2,Quetta Gladiators,Dubai (DICS),2018-03-07,2018
Usama Mir,4.0,0,40,6,10.0,Multan Sultans,2,Lahore Qalandars,Lahore,2024-02-27,2024
Shaheen Shah Afridi,3.4,1,4,5,1.09,Lahore Qalandars,1,Multan Sultans,Dubai (DICS),2018-03-09,2018
Shahid Afridi,4.0,1,7,5,1.75,Peshawar Zalmi,1,Quetta Gladiators,Sharjah,2016-02-14,2016
Mohammad Sami,4.0,0,8,5,2.0,Islamabad United,1,Karachi Kings,Dubai (DICS),2016-02-20,2016
Ihsanullah,4.0,1,12,5,3.0,Multan Sultans,1,Quetta Gladiators,Multan,2023-02-15,2023
Rashid Khan,4.0,1,20,5,5.0,Lahore Qalandars,2,Peshawar Zalmi,Abu Dhabi,2021-06-10,2021
Naseem Shah,3.3,0,20,5,5.71,Quetta Gladiators,1,Karachi Kings,Karachi,2022-01-29,2022
Imad Wasim,4.0,0,23,5,5.75,Islamabad United,1,Multan Sultans,Karachi,2024-03-18,2024
Arif Yaqoob,4.0,0,27,5,6.75,Peshawar Zalmi,2,Islamabad United,Lahore,2024-02-26,2024
Shadab Khan,4.0,0,28,5,7.0,Islamabad United,2,Quetta Gladiators,Karachi,2022-02-03,2022
Shaheen Shah Afridi,4.0,0,40,5,10.0,Lahore Qalandars,2,Peshawar Zalmi,Lahore,2023-02-26,2023
Abbas Afridi,4.0,0,47,5,11.75,Multan Sultans,2,Quetta Gladiators,Rawalpindi,2023-03-11,2023
SR Patel,4.0,1,5,4,1.25,Lahore Qalandars,1,Quetta Gladiators,Lahore,2020-03-07,2020
Shahnawaz Dahani,3.1,1,5,4,1.57,Multan Sultans,2,Lahore Qalandars,Abu Dhabi,2021-06-18,2021
Yasir Shah,4.0,0,7,4,1.75,Lahore Qalandars,2,Peshawar Zalmi,Dubai (DICS),2017-02-12,2017
S Lamichhane,4.0,0,10,4,2.5,Lahore Qalandars,1,Quetta Gladiators,Dubai (DICS),2019-02-27,2019
Mohammad Nawaz,4.0,0,13,4,3.25,Quetta Gladiators,1,Islamabad United,Dubai (DICS),2016-02-04,2016
Sohail Tanvir,3.3,1,13,4,3.71,Multan Sultans,1,Peshawar Zalmi,Multan,2020-02-26,2020
Zafar Gohar,3.2,0,14,4,4.2,Lahore Qalandars,2,Quetta Gladiators,Dubai (DICS),2016-02-08,2016
GD Elliott,4.0,0,15,4,3.75,Quetta Gladiators,1,Karachi Kings,Sharjah,2016-02-13,2016
Hasan Ali,4.0,0,15,4,3.75,Peshawar Zalmi,1,Lahore Qalandars,Dubai (DICS),2019-02-17,2019
Hasan Ali,4.0,0,15,4,3.75,Peshawar Zalmi,2,Karachi Kings,Sharjah,2019-02-21,2019
Usman Shinwari,4.0,0,15,4,3.75,Karachi Kings,1,Multan Sultans,Abu Dhabi,2019-03-04,2019
Shadab Khan,4.0,0,15,4,3.75,Islamabad United,2,Karachi Kings,Karachi,2022-02-06,2022
Hasan Ali,4.0,0,15,4,3.75,Karachi Kings,1,Quetta Gladiators,Rawalpindi,2024-03-06,2024
Rahat Ali,4.0,0,16,4,4.0,Quetta Gladiators,1,Peshawar Zalmi,Lahore,2018-03-20,2018
Zaman Khan,3.5,1,16,4,4.17,Lahore Qalandars,1,Karachi Kings,Lahore,2022-02-18,2022
Usman Shinwari,4.0,0,17,4,4.25,Karachi Kings,1,Islamabad United,Sharjah,2018-03-16,2018
Hasan Ali,4.0,0,17,4,4.25,Peshawar Zalmi,1,Multan Sultans,Sharjah,2019-02-24,2019
Wahab Riaz,4.0,0,17,4,4.25,Peshawar Zalmi,1,Islamabad United,Karachi,2021-02-27,2021
Rashid Khan,4.0,0,17,4,4.25,Lahore Qalandars,1,Karachi Kings,Lahore,2022-02-18,2022
Faheem Ashraf,3.0,0,18,4,6.0,Islamabad United,1,Quetta Gladiators,Abu Dhabi,2019-03-05,2019
Shaheen Shah Afridi,4.0,0,18,4,4.5,Lahore Qalandars,2,Islamabad United,Lahore,2020-02-23,2020
Imran Khalid,3.0,0,20,4,6.66,Islamabad United,2,Peshawar Zalmi,Dubai (DICS),2016-02-21,2016
Shadab Khan,4.0,0,20,4,5.0,Islamabad United,1,Lahore Qalandars,Karachi,2022-02-05,2022
Sohail Tanvir,4.0,1,21,4,5.25,Quetta Gladiators,1,Islamabad United,Dubai (DICS),2019-02-17,2019
Rashid Khan,4.0,0,21,4,5.25,Lahore Qalandars,2,Islamabad United,Rawalpindi,2023-03-09,2023
Khurram Shahzad,4.0,0,22,4,5.5,Quetta Gladiators,2,Karachi Kings,Lahore,2022-02-20,2022
Abbas Afridi,3.0,0,22,4,7.33,Multan Sultans,2,Islamabad United,Multan,2023-02-19,2023
GD Elliott,3.0,0,23,4,7.66,Lahore Qalandars,1,Islamabad United,Dubai (DICS),2017-02-11,2017
Umaid Asif,4.0,0,23,4,5.75,Peshawar Zalmi,2,Islamabad United,Dubai (DICS),2018-02-24,2018
Haris Rauf,4.0,0,23,4,5.75,Lahore Qalandars,2,Karachi Kings,Dubai (DICS),2019-02-16,2019
AJ Hosein,4.0,0,23,4,5.75,Quetta Gladiators,1,Peshawar Zalmi,Rawalpindi,2024-03-08,2024
Dilbar Hussain,3.0,0,24,4,8.0,Lahore Qalandars,1,Peshawar Zalmi,Rawalpindi,2020-02-28,2020
Rumman Raees,4.0,0,25,4,6.25,Islamabad United,1,Karachi Kings,Sharjah,2017-03-01,2017
Mohammad Amir,4.0,0,25,4,6.25,Karachi Kings,2,Multan Sultans,Dubai (DICS),2019-02-15,2019
Mohammad Hasnain,4.0,0,25,4,6.25,Quetta Gladiators,1,Islamabad United,Karachi,2020-02-20,2020
L Gregory,3.0,0,25,4,8.33,Peshawar Zalmi,2,Lahore Qalandars,Rawalpindi,2020-02-28,2020
Mohammad Amir,4.0,0,25,4,6.25,Karachi Kings,1,Peshawar Zalmi,Rawalpindi,2020-03-02,2020
Mohammad Amir,4.0,0,26,4,6.5,Karachi Kings,1,Peshawar Zalmi,Rawalpindi,2023-03-01,2023
Amad Butt,4.0,0,27,4,6.75,Islamabad United,1,Multan Sultans,Lahore,2020-02-22,2020
Naseem Shah,4.0,0,27,4,6.75,Quetta Gladiators,1,Peshawar Zalmi,Lahore,2022-02-15,2022
Mir Hamza,4.0,0,27,4,6.75,Karachi Kings,2,Lahore Qalandars,Lahore,2022-02-18,2022
Arish Ali,4.0,0,28,4,7.0,Quetta Gladiators,1,Karachi Kings,Abu Dhabi,2021-06-19,2021
Akif Javed,3.3,0,28,4,8.0,Karachi Kings,2,Lahore Qalandars,Karachi,2023-02-19,2023
Rahat Ali,4.0,0,29,4,7.25,Lahore Qalandars,2,Islamabad United,Dubai (DICS),2019-02-14,2019
Salman Irshad,4.0,0,30,4,7.5,Lahore Qalandars,2,Quetta Gladiators,Lahore,2020-03-03,2020
Shahnawaz Dahani,4.0,0,31,4,7.75,Multan Sultans,1,Peshawar Zalmi,Abu Dhabi,2021-06-13,2021
Mohammad Wasim,4.0,0,31,4,7.75,Islamabad United,1,Multan Sultans,Abu Dhabi,2021-06-19,2021
Shaheen Shah Afridi,4.0,0,31,4,7.75,Lahore Qalandars,1,Peshawar Zalmi,Rawalpindi,2023-03-07,2023
SR Patel,4.0,0,34,4,8.5,Islamabad United,2,Peshawar Zalmi,Dubai (DICS),2018-03-09,2018
Mohammad Hasnain,3.0,0,34,4,11.33,Quetta Gladiators,1,Peshawar Zalmi,Rawalpindi,2020-03-05,2020
Khushdil Shah,4.0,0,35,4,8.75,Multan Sultans,2,Islamabad United,Karachi,2022-02-01,2022
Waqas Maqsood,4.0,0,35,4,8.75,Islamabad United,1,Lahore Qalandars,Karachi,2022-02-05,2022
Zaman Khan,3.5,0,37,4,9.65,Lahore Qalandars,2,Islamabad United,Rawalpindi,2024-03-06,2024
Ehsan Adil,4.0,0,39,4,9.75,Lahore Qalandars,2,Quetta Gladiators,Dubai (DICS),2016-02-16,2016
Abbas Afridi,4.0,0,39,4,9.75,Multan Sultans,1,Peshawar Zalmi,Rawalpindi,2023-03-10,2023
SR Watson,4.0,0,44,4,11.0,Islamabad United,1,Peshawar Zalmi,Dubai (DICS),2017-02-09,2017
Shaheen Shah Afridi,4.0,0,51,4,12.75,Lahore Qalandars,2,Multan Sultans,Lahore,2023-03-18,2023
Mohammad Amir,2.2,0,7,3,3.0,Karachi Kings,2,Islamabad United,Sharjah,2017-03-01,2017
Imran Tahir,2.0,1,7,3,3.5,Multan Sultans,2,Quetta Gladiators,Abu Dhabi,2021-06-16,2021
Usman Shinwari,4.0,0,11,3,2.75,Karachi Kings,1,Peshawar Zalmi,Sharjah,2018-03-15,2018
Faheem Ashraf,4.0,0,11,3,2.75,Islamabad United,1,Quetta Gladiators,Karachi,2021-03-01,2021
S Mahmood,2.1,0,12,3,5.53,Peshawar Zalmi,1,Islamabad United,Karachi,2021-02-27,2021
Imad Wasim,4.0,0,12,3,3.0,Islamabad United,2,Quetta Gladiators,Karachi,2024-03-15,2024
Shadab Khan,3.0,0,13,3,4.33,Islamabad United,2,Karachi Kings,Dubai (DICS),2017-02-26,2017
Mohammad Hasnain,4.0,1,13,3,3.25,Quetta Gladiators,2,Peshawar Zalmi,Karachi,2023-02-20,2023
Khurram Shahzad,1.4,0,13,3,7.8,Peshawar Zalmi,2,Islamabad United,Rawalpindi,2023-03-12,2023
Rumman Raees,3.5,0,14,3,3.65,Islamabad United,1,Multan Sultans,Dubai (DICS),2018-02-25,2018
Sohail Tanvir,3.0,0,14,3,4.66,Multan Sultans,1,Quetta Gladiators,Sharjah,2018-03-03,2018
Sohail Tanvir,4.0,0,14,3,3.5,Multan Sultans,2,Peshawar Zalmi,Dubai (DICS),2018-03-06,2018
