player,runs,mins,balls,4s,6s,sr,team,opposition,ground,is_not_out,match_date,match_year,match_month
JJ Roy,145.0,90.0,63,20,5.0,230.15,Quetta Gladiators,Peshawar Zalmi,Rawalpindi,True,2023-03-08,2023,3
CA Ingram,127.0,,59,12,8.0,215.25,Karachi Kings,Quetta Gladiators,Sharjah,True,2019-02-24,2019,2
RR Rossouw,121.0,87.0,51,12,8.0,237.25,Multan Sultans,Peshawar Zalmi,Rawalpindi,False,2023-03-10,2023,3
Usman Khan,120.0,56.0,43,12,9.0,279.06,Multan Sultans,Quetta Gladiators,Rawalpindi,False,2023-03-11,2023,3
CS Delport,117.0,,60,13,6.0,195.0,Islamabad United,Lahore Qalandars,Karachi,True,2019-03-09,2019,3
Sharjeel Khan,117.0,,62,12,8.0,188.7,Islamabad United,Peshawar Zalmi,Dubai (DICS),False,2016-02-21,2016,2
MJ Guptill,117.0,102.0,67,12,5.0,174.62,Quetta Gladiators,Karachi Kings,Karachi,False,2023-02-18,2023,2
JJ Roy,116.0,77.0,57,11,8.0,203.5,Quetta Gladiators,Lahore Qalandars,Karachi,False,2022-02-07,2022,2
Babar Azam,115.0,102.0,65,15,3.0,176.92,Peshawar Zalmi,Quetta Gladiators,Rawalpindi,False,2023-03-08,2023,3
Fakhar Zaman,115.0,96.0,57,8,8.0,201.75,Lahore Qalandars,Islamabad United,Rawalpindi,False,2023-03-09,2023,3
CA Lynn,113.0,,55,12,8.0,205.45,Lahore Qalandars,Multan Sultans,Lahore,True,2020-03-15,2020,3
Babar Azam,111.0,100.0,63,14,2.0,176.19,Peshawar Zalmi,Islamabad United,Lahore,True,2024-02-26,2024,2
Mohammad Rizwan,110.0,101.0,64,10,4.0,171.87,Multan Sultans,Karachi Kings,Multan,True,2023-02-22,2023,2
Kamran Akmal,107.0,,61,11,7.0,175.4,Peshawar Zalmi,Lahore Qalandars,Sharjah,True,2018-03-16,2018,3
Usman Khan,106.0,88.0,59,10,5.0,179.66,Multan Sultans,Karachi Kings,Karachi,True,2024-03-03,2024,3
Fakhar Zaman,106.0,,60,12,4.0,176.66,Lahore Qalandars,Karachi Kings,Karachi,False,2022-01-30,2022,1
UT Khawaja,105.0,,56,13,3.0,187.5,Islamabad United,Peshawar Zalmi,Abu Dhabi,True,2021-06-17,2021,6
Sharjeel Khan,105.0,100.0,59,9,8.0,177.96,Karachi Kings,Islamabad United,Karachi,False,2021-02-24,2021,2
HE van der Dussen,104.0,95.0,52,7,6.0,200.0,Lahore Qalandars,Peshawar Zalmi,Lahore,True,2024-02-25,2024,2
Kamran Akmal,104.0,,65,6,7.0,160.0,Peshawar Zalmi,Karachi Kings,Dubai (DICS),False,2017-03-03,2017,3
HC Brook,102.0,87.0,49,10,5.0,208.16,Lahore Qalandars,Islamabad United,Lahore,True,2022-02-19,2022,2
Kamran Akmal,101.0,,55,13,4.0,183.63,Peshawar Zalmi,Quetta Gladiators,Karachi,False,2020-02-22,2020,2
RR Rossouw,100.0,,44,10,6.0,227.27,Multan Sultans,Quetta Gladiators,Multan,True,2020-02-29,2020,2
Usman Khan,100.0,70.0,50,15,3.0,200.0,Multan Sultans,Islamabad United,Rawalpindi,True,2024-03-10,2024,3
BR Dunk,99.0,,40,3,12.0,247.5,Lahore Qalandars,Karachi Kings,Lahore,True,2020-03-08,2020,3
Ahmed Shehzad,99.0,,57,8,6.0,173.68,Quetta Gladiators,Karachi Kings,Karachi,False,2019-03-10,2019,3
WCF Smeed,99.0,,60,12,3.0,165.0,Quetta Gladiators,Peshawar Zalmi,Lahore,False,2022-02-15,2022,2
Mohammad Hafeez,98.0,,57,7,7.0,171.92,Lahore Qalandars,Islamabad United,Lahore,True,2020-02-23,2020,2
WCF Smeed,97.0,,62,11,4.0,156.45,Quetta Gladiators,Peshawar Zalmi,Karachi,False,2022-01-28,2022,1
Azam Khan,97.0,66.0,42,9,8.0,230.95,Islamabad United,Quetta Gladiators,Karachi,False,2023-02-24,2023,2
Fakhar Zaman,96.0,100.0,45,3,10.0,213.33,Lahore Qalandars,Peshawar Zalmi,Lahore,False,2023-02-26,2023,2
Usman Khan,96.0,91.0,55,11,2.0,174.54,Multan Sultans,Lahore Qalandars,Lahore,False,2024-02-27,2024,2
