team,overs,rr,inns,opposition,ground,runs,wickets,match_date,match_year,won
Lahore Qalandars,10.2,5.7,1,Peshawar Zalmi,Dubai (DICS),59,10,2017-02-12,2017,False
Quetta Gladiators,12.1,6.0,2,Multan Sultans,Abu Dhabi,73,10,2021-06-16,2021,False
Lahore Qalandars,14.3,5.24,2,Multan Sultans,Lahore,76,10,2023-03-15,2023,False
Lahore Qalandars,15.1,5.14,1,Peshawar Zalmi,Dubai (DICS),78,10,2019-02-17,2019,False
Islamabad United,15.2,5.34,2,Karachi Kings,Sharjah,82,10,2017-03-01,2017,False
Lahore Qalandars,15.1,5.86,2,Multan Sultans,Abu Dhabi,89,10,2021-06-18,2021,False
Quetta Gladiators,16.3,5.45,2,Peshawar Zalmi,Lahore,90,10,2017-03-05,2017,False
Islamabad United,13.5,6.5,2,Lahore Qalandars,Lahore,90,10,2023-02-27,2023,False
Quetta Gladiators,20.0,4.9,1,Lahore Qalandars,Lahore,98,9,2020-03-07,2020,False
Lahore Qalandars,17.2,5.76,1,Peshawar Zalmi,Sharjah,100,10,2018-03-03,2018,False
Multan Sultans,16.3,6.12,2,Karachi Kings,Karachi,101,10,2023-02-26,2023,False
Quetta Gladiators,15.4,6.51,1,Multan Sultans,Sharjah,102,10,2018-03-03,2018,False
Islamabad United,20.0,5.25,1,Multan Sultans,Lahore,105,7,2022-02-20,2022,False
Quetta Gladiators,19.1,5.53,1,Lahore Qalandars,Dubai (DICS),106,10,2019-02-27,2019,False
Quetta Gladiators,15.5,6.69,2,Multan Sultans,Karachi,106,10,2024-03-12,2024,False
Islamabad United,15.1,7.05,2,Lahore Qalandars,Rawalpindi,107,10,2023-03-09,2023,False
Karachi Kings,20.0,5.4,1,Peshawar Zalmi,Abu Dhabi,108,9,2021-06-15,2021,False
Karachi Kings,20.0,5.45,2,Peshawar Zalmi,Sharjah,109,9,2019-02-21,2019,False
Quetta Gladiators,18.5,5.84,1,Multan Sultans,Multan,110,10,2023-02-15,2023,False
Lahore Qalandars,18.5,5.84,2,Karachi Kings,Lahore,110,10,2023-03-12,2023,False
Karachi Kings,20.0,5.55,1,Islamabad United,Dubai (DICS),111,9,2016-02-20,2016,False
Karachi Kings,20.0,5.65,2,Quetta Gladiators,Dubai (DICS),113,8,2018-03-08,2018,False
Multan Sultans,19.5,5.69,1,Islamabad United,Dubai (DICS),113,10,2018-02-25,2018,False
Karachi Kings,17.3,6.45,1,Quetta Gladiators,Karachi,113,10,2022-01-29,2022,False
Multan Sultans,19.4,5.79,1,Lahore Qalandars,Dubai (DICS),114,10,2018-03-09,2018,False
Karachi Kings,19.5,5.84,2,Lahore Qalandars,Dubai (DICS),116,10,2019-02-16,2019,False
Lahore Qalandars,20.0,5.85,1,Peshawar Zalmi,Dubai (DICS),117,6,2016-02-06,2016,False
Islamabad United,19.1,6.1,1,Quetta Gladiators,Sharjah,117,10,2016-02-11,2016,False
Karachi Kings,20.0,5.9,1,Peshawar Zalmi,Dubai (DICS),118,7,2017-02-10,2017,False
Multan Sultans,20.0,5.9,1,Karachi Kings,Abu Dhabi,118,7,2019-03-04,2019,False
Quetta Gladiators,19.1,6.15,1,Karachi Kings,Rawalpindi,118,10,2024-03-06,2024,False
Lahore Qalandars,17.3,6.74,2,Karachi Kings,Karachi,118,10,2023-02-19,2023,False
Islamabad United,17.1,6.87,1,Peshawar Zalmi,Karachi,118,10,2021-02-27,2021,False
Lahore Qalandars,20.0,5.95,1,Quetta Gladiators,Dubai (DICS),119,9,2018-02-24,2018,False
Quetta Gladiators,17.5,6.72,2,Peshawar Zalmi,Rawalpindi,120,10,2024-03-08,2024,False
Islamabad United,20.0,6.05,2,Peshawar Zalmi,Dubai (DICS),121,9,2016-02-05,2016,False
Islamabad United,20.0,6.05,1,Lahore Qalandars,Sharjah,121,9,2018-03-02,2018,False
Multan Sultans,20.0,6.05,1,Quetta Gladiators,Dubai (DICS),121,10,2019-03-01,2019,False
Lahore Qalandars,19.4,6.15,2,Islamabad United,Sharjah,121,10,2018-03-02,2018,False
Quetta Gladiators,18.2,6.6,1,Karachi Kings,Karachi,121,10,2021-02-20,2021,False
Islamabad United,17.4,6.84,1,Multan Sultans,Dubai (DICS),121,10,2019-02-26,2019,False
Peshawar Zalmi,18.3,6.64,1,Multan Sultans,Multan,123,10,2020-02-26,2020,False
Lahore Qalandars,20.0,6.2,1,Peshawar Zalmi,Abu Dhabi,124,7,2019-03-05,2019,False
Karachi Kings,20.0,6.2,1,Multan Sultans,Karachi,124,5,2022-01-27,2022,False
Islamabad United,19.0,6.52,1,Karachi Kings,Sharjah,124,10,2018-03-16,2018,False
Lahore Qalandars,18.2,6.76,2,Islamabad United,Abu Dhabi,124,10,2021-06-13,2021,False
Lahore Qalandars,20.0,6.25,1,Karachi Kings,Dubai (DICS),125,8,2016-02-05,2016,False
Islamabad United,20.0,6.25,1,Multan Sultans,Dubai (DICS),125,7,2019-02-16,2019,False
Multan Sultans,19.4,6.35,2,Karachi Kings,Dubai (DICS),125,10,2018-03-10,2018,False
Karachi Kings,20.0,6.3,1,Quetta Gladiators,Sharjah,126,9,2016-02-13,2016,False
Karachi Kings,19.4,6.4,1,Islamabad United,Sharjah,126,10,2017-03-01,2017,True
Peshawar Zalmi,18.0,7.0,2,Islamabad United,Dubai (DICS),126,10,2016-02-21,2016,False
Lahore Qalandars,20.0,6.35,2,Karachi Kings,Lahore,127,9,2022-02-18,2022,False
Lahore Qalandars,18.5,6.74,2,Islamabad United,Lahore,127,10,2020-03-04,2020,False
Islamabad United,20.0,6.4,1,Quetta Gladiators,Dubai (DICS),128,7,2016-02-04,2016,False
Karachi Kings,20.0,6.4,1,Islamabad United,Sharjah,128,5,2016-02-14,2016,False
Quetta Gladiators,20.0,6.4,1,Peshawar Zalmi,Dubai (DICS),128,10,2017-02-25,2017,False
Lahore Qalandars,18.4,6.85,2,Quetta Gladiators,Dubai (DICS),128,10,2017-02-10,2017,False
Quetta Gladiators,15.5,8.08,2,Multan Sultans,Lahore,128,10,2022-02-18,2022,False
Quetta Gladiators,18.0,7.16,1,Peshawar Zalmi,Sharjah,129,10,2016-02-14,2016,False
Karachi Kings,20.0,6.5,2,Islamabad United,Dubai (DICS),130,9,2016-02-07,2016,False
Quetta Gladiators,20.0,6.5,2,Karachi Kings,Dubai (DICS),130,9,2018-02-23,2018,False
Karachi Kings,20.0,6.5,2,Multan Sultans,Multan,130,8,2024-02-18,2024,False
Multan Sultans,19.3,6.66,2,Lahore Qalandars,Lahore,130,10,2022-02-11,2022,False
Peshawar Zalmi,20.0,6.55,1,Karachi Kings,Dubai (DICS),131,9,2018-02-25,2018,False
Islamabad United,20.0,6.55,2,Lahore Qalandars,Lahore,131,9,2022-02-19,2022,False
Quetta Gladiators,20.0,6.55,2,Lahore Qalandars,Lahore,131,7,2023-03-02,2023,False
Quetta Gladiators,16.2,8.02,2,Lahore Qalandars,Dubai (DICS),131,10,2016-02-08,2016,False
Islamabad United,20.0,6.6,1,Karachi Kings,Dubai (DICS),132,8,2016-02-07,2016,True
Peshawar Zalmi,20.0,6.6,2,Quetta Gladiators,Dubai (DICS),132,9,2016-02-19,2016,False
Lahore Qalandars,18.3,7.13,2,Karachi Kings,Dubai (DICS),132,10,2018-02-26,2018,False
Lahore Qalandars,20.0,6.65,1,Karachi Kings,Dubai (DICS),133,5,2019-02-28,2019,False
Quetta Gladiators,20.0,6.65,1,Islamabad United,Abu Dhabi,133,10,2021-06-11,2021,False
Quetta Gladiators,19.3,6.82,1,Peshawar Zalmi,Dubai (DICS),133,10,2016-02-19,2016,True
Islamabad United,20.0,6.7,1,Quetta Gladiators,Sharjah,134,7,2018-02-28,2018,False
