match_number,Quetta Gladiators,Karachi Kings,Peshawar Zalmi,Islamabad United,Lahore Qalandars,Multan Sultans
1,1,0,0,0,0,0
2,1,1,0,0,0,0
3,1,1,1,0,0,0
4,2,1,1,0,0,0
5,2,1,2,0,0,0
6,2,1,2,1,0,0
7,3,1,2,1,0,0
8,3,1,2,1,1,0
9,3,1,2,2,1,0
10,3,1,3,2,1,0
11,4,1,3,2,1,0
12,4,2,3,2,1,0
13,4,2,4,2,1,0
14,5,2,4,2,1,0
15,5,2,4,2,2,0
16,5,2,4,3,2,0
17,5,2,5,3,2,0
18,6,2,5,3,2,0
19,6,2,6,3,2,0
20,6,2,6,4,2,0
21,7,2,6,4,2,0
22,7,2,6,5,2,0
23,7,2,6,6,2,0
24,7,2,6,7,2,0
25,7,2,6,8,2,0
26,7,2,7,8,2,0
27,7,2,7,8,3,0
28,8,2,7,8,3,0
29,8,2,8,8,3,0
30,8,2,8,9,3,0
31,8,2,8,9,4,0
32,8,3,8,9,4,0
33,9,3,8,9,4,0
34,9,3,8,10,4,0
35,9,4,8,10,4,0
36,9,4,8,10,5,0
37,10,4,8,10,5,0
38,10,4,9,10,5,0
39,10,4,9,11,5,0
40,10,5,9,11,5,0
41,10,5,10,11,5,0
42,10,6,10,11,5,0
43,11,6,10,11,5,0
44,11,7,10,11,5,0
45,11,7,11,11,5,0
46,11,7,12,11,5,0
47,11,7,12,11,5,1
48,11,8,12,11,5,1
49,11,8,12,11,5,2
50,11,8,13,11,5,2
51,12,8,13,11,5,2
52,12,8,13,12,5,2
53,12,9,13,12,5,2
54,12,10,13,12,5,2
55,13,10,13,12,5,2
56,13,10,14,12,5,2
57,13,10,14,13,5,2
58,13,10,14,13,5,3
59,13,10,15,13,5,3
60,13,10,15,14,5,3
61,13,10,15,14,5,4
62,14,10,15,14,5,4
63,14,10,15,15,5,4
64,15,10,15,15,5,4
65,15,10,15,15,6,4
66,15,10,15,16,6,4
67,15,11,15,16,6,4
68,16,11,15,16,6,4
69,16,11,15,16,7,4
70,16,11,15,17,7,4
71,16,11,15,17,8,4
72,16,11,16,17,8,4
73,16,11,16,18,8,4
74,16,11,17,18,8,4
75,16,12,17,18,8,4
76,16,12,17,19,8,4
77,16,12,18,19,8,4
78,16,12,19,19,8,4
79,16,12,19,20,8,4
80,16,12,19,21,8,4
81,16,13,19,21,8,4
82,17,13,19,21,8,4
83,17,13,19,21,8,5
84,17,13,19,21,9,5
85,18,13,19,21,9,5
86,18,13,20,21,9,5
87,19,13,20,21,9,5
88,19,13,21,21,9,5
89,19,13,21,21,10,5
90,19,13,21,22,10,5
91,20,13,21,22,10,5
92,20,13,21,23,10,5
93,20,13,22,23,10,5
94,20,14,22,23,10,5
95,20,14,22,23,10,6
96,20,14,22,23,11,6
97,20,14,22,24,11,6
98,20,14,23,24,11,6
99,20,15,23,24,11,6
100,20,15,24,24,11,6
101,21,15,24,24,11,6
102,22,15,24,24,11,6
103,22,16,24,24,11,6
104,22,16,25,24,11,6
105,23,16,25,24,11,6
106,23,16,25,25,11,6
107,23,17,25,25,11,6
108,23,17,25,25,11,7
109,23,17,26,25,11,7
110,24,17,26,25,11,7
111,24,17,26,26,11,7
112,24,17,27,26,11,7
113,25,17,27,26,11,7
114,26,17,27,26,11,7
115,26,18,27,26,11,7
116,26,18,27,26,11,8
117,26,18,28,26,11,8
118,26,18,28,27,11,8
119,27,18,28,27,11,8
120,27,18,28,28,11,8
121,27,18,28,28,11,9
122,28,18,28,28,11,9
123,28,18,28,28,11,10
124,28,18,29,28,11,10
125,28,18,29,28,11,11
126,28,19,29,28,11,11
127,28,20,29,28,11,11
128,28,20,29,28,12,11
129,28,20,29,29,12,11
130,28,20,30,29,12,11
131,28,20,31,29,12,11
132,28,20,31,29,13,11
133,28,20,31,29,13,12
134,28,20,31,29,14,12
135,28,20,31,29,15,12
136,28,21,31,29,15,12
137,28,21,31,29,15,13
138,28,22,31,29,15,13
139,28,22,31,29,16,13
140,29,22,31,29,16,13
141,29,23,31,29,16,13
142,29,23,31,29,17,13
143,29,23,31,29,18,13
144,29,24,31,29,18,13
145,29,25,31,29,18,13
146,29,25,31,29,19,13
147,29,25,31,30,19,13
148,29,25,31,30,20,13
149,29,25,32,30,20,13
150,29,25,32,31,20,13
151,29,25,32,31,20,14
152,29,25,33,31,20,14
153,29,26,33,31,20,14
154,29,26,34,31,20,14
155,29,26,34,31,21,14
156,29,26,34,32,21,14
157,29,27,34,32,21,14
158,30,27,34,32,21,14
159,30,27,34,32,22,14
160,30,27,34,32,22,15
161,30,27,34,32,23,15
162,30,27,34,33,23,15
163,30,27,35,33,23,15
164,30,27,35,34,23,15
165,30,27,35,34,23,16
166,30,27,35,35,23,16
167,31,27,35,35,23,16
168,31,27,36,35,23,16
169,31,27,36,35,23,17
170,31,27,36,36,23,17
171,31,28,36,36,23,17
172,31,28,36,36,23,18
173,31,29,36,36,23,18
174,31,29,36,37,23,18
175,31,29,36,37,23,19
176,31,29,37,37,23,19
177,31,29,38,37,23,19
178,31,29,38,37,23,20
179,31,29,38,37,23,21
180,31,29,39,37,23,21
181,31,29,39,37,23,22
182,32,29,39,37,23,22
183,32,29,39,38,23,22
184,32,29,39,38,24,22
185,32,29,39,38,24,23
186,32,29,39,38,24,24
187,32,29,39,38,25,24
188,32,29,39,39,25,24
189,32,29,40,39,25,24
190,32,29,40,39,26,24
191,32,29,40,39,26,25
192,32,29,40,40,26,25
193,33,29,40,40,26,25
194,33,29,40,40,26,26
195,33,29,40,40,27,26
196,34,29,40,40,27,26
197,34,29,41,40,27,26
198,34,29,41,40,28,26
199,34,29,41,41,28,26
200,34,29,42,41,28,26
