match_number,Quetta Gladiators,Karachi Kings,Peshawar Zalmi,Islamabad United,Lahore Qalandars,Multan Sultans,Quetta Gladiators_match_wins,Karachi Kings_match_wins,Peshawar Zalmi_match_wins,Islamabad United_match_wins,Lahore Qalandars_match_wins,Multan Sultans_match_wins,leader,lead_gap
1,1,0,0,0,0,0,1,0,0,0,0,0,Quetta Gladiators,1
2,1,1,0,0,0,0,0,1,0,0,0,0,Quetta Gladiators,0
3,1,1,1,0,0,0,0,0,1,0,0,0,Quetta Gladiators,0
4,2,1,1,0,0,0,1,0,0,0,0,0,Quetta Gladiators,1
5,2,1,2,0,0,0,0,0,1,0,0,0,Quetta Gladiators,0
6,2,1,2,1,0,0,0,0,0,1,0,0,Quetta Gladiators,0
7,3,1,2,1,0,0,1,0,0,0,0,0,Quetta Gladiators,1
8,3,1,2,1,1,0,0,0,0,0,1,0,Quetta Gladiators,1
9,3,1,2,2,1,0,0,0,0,1,0,0,Quetta Gladiators,1
10,3,1,3,2,1,0,0,0,1,0,0,0,Quetta Gladiators,0
11,4,1,3,2,1,0,1,0,0,0,0,0,Quetta Gladiators,1
12,4,2,3,2,1,0,0,1,0,0,0,0,Quetta Gladiators,1
13,4,2,4,2,1,0,0,0,1,0,0,0,Quetta Gladiators,0
14,5,2,4,2,1,0,1,0,0,0,0,0,Quetta Gladiators,1
15,5,2,4,2,2,0,0,0,0,0,1,0,Quetta Gladiators,1
16,5,2,4,3,2,0,0,0,0,1,0,0,Quetta Gladiators,1
17,5,2,5,3,2,0,0,0,1,0,0,0,Quetta Gladiators,0
18,6,2,5,3,2,0,1,0,0,0,0,0,Quetta Gladiators,1
19,6,2,6,3,2,0,0,0,1,0,0,0,Quetta Gladiators,0
20,6,2,6,4,2,0,0,0,0,1,0,0,Quetta Gladiators,0
21,7,2,6,4,2,0,1,0,0,0,0,0,Quetta Gladiators,1
22,7,2,6,5,2,0,0,0,0,1,0,0,Quetta Gladiators,1
23,7,2,6,6,2,0,0,0,0,1,0,0,Quetta Gladiators,1
24,7,2,6,7,2,0,0,0,0,1,0,0,Quetta Gladiators,0
25,7,2,6,8,2,0,0,0,0,1,0,0,Islamabad United,1
26,7,2,7,8,2,0,0,0,1,0,0,0,Islamabad United,1
27,7,2,7,8,3,0,0,0,0,0,1,0,Islamabad United,1
28,8,2,7,8,3,0,1,0,0,0,0,0,Quetta Gladiators,0
29,8,2,8,8,3,0,0,0,1,0,0,0,Quetta Gladiators,0
30,8,2,8,9,3,0,0,0,0,1,0,0,Islamabad United,1
31,8,2,8,9,4,0,0,0,0,0,1,0,Islamabad United,1
32,8,3,8,9,4,0,0,1,0,0,0,0,Islamabad United,1
33,9,3,8,9,4,0,1,0,0,0,0,0,Quetta Gladiators,0
34,9,3,8,10,4,0,0,0,0,1,0,0,Islamabad United,1
35,9,4,8,10,4,0,0,1,0,0,0,0,Islamabad United,1
36,9,4,8,10,5,0,0,0,0,0,1,0,Islamabad United,1
37,10,4,8,10,5,0,1,0,0,0,0,0,Quetta Gladiators,0
38,10,4,9,10,5,0,0,0,1,0,0,0,Quetta Gladiators,0
39,10,4,9,11,5,0,0,0,0,1,0,0,Islamabad United,1
40,10,5,9,11,5,0,0,1,0,0,0,0,Islamabad United,1
41,10,5,10,11,5,0,0,0,1,0,0,0,Islamabad United,1
42,10,6,10,11,5,0,0,1,0,0,0,0,Islamabad United,1
43,11,6,10,11,5,0,1,0,0,0,0,0,Quetta Gladiators,0
44,11,7,10,11,5,0,0,1,0,0,0,0,Quetta Gladiators,0
45,11,7,11,11,5,0,0,0,1,0,0,0,Quetta Gladiators,0
46,11,7,12,11,5,0,0,0,1,0,0,0,Peshawar Zalmi,1
47,11,7,12,11,5,1,0,0,0,0,0,1,Peshawar Zalmi,1
48,11,8,12,11,5,1,0,1,0,0,0,0,Peshawar Zalmi,1
49,11,8,12,11,5,2,0,0,0,0,0,1,Peshawar Zalmi,1
50,11,8,13,11,5,2,0,0,1,0,0,0,Peshawar Zalmi,2
51,12,8,13,11,5,2,1,0,0,0,0,0,Peshawar Zalmi,1
52,12,8,13,12,5,2,0,0,0,1,0,0,Peshawar Zalmi,1
53,12,9,13,12,5,2,0,1,0,0,0,0,Peshawar Zalmi,1
54,12,10,13,12,5,2,0,1,0,0,0,0,Peshawar Zalmi,1
55,13,10,13,12,5,2,1,0,0,0,0,0,Quetta Gladiators,0
56,13,10,14,12,5,2,0,0,1,0,0,0,Peshawar Zalmi,1
57,13,10,14,13,5,2,0,0,0,1,0,0,Peshawar Zalmi,1
58,13,10,14,13,5,3,0,0,0,0,0,1,Peshawar Zalmi,1
59,13,10,15,13,5,3,0,0,1,0,0,0,Peshawar Zalmi,2
60,13,10,15,14,5,3,0,0,0,1,0,0,Peshawar Zalmi,1
61,13,10,15,14,5,4,0,0,0,0,0,1,Peshawar Zalmi,1
62,14,10,15,14,5,4,1,0,0,0,0,0,Peshawar Zalmi,1
63,14,10,15,15,5,4,0,0,0,1,0,0,Peshawar Zalmi,0
64,15,10,15,15,5,4,1,0,0,0,0,0,Quetta Gladiators,0
65,15,10,15,15,6,4,0,0,0,0,1,0,Quetta Gladiators,0
66,15,10,15,16,6,4,0,0,0,1,0,0,Islamabad United,1
67,15,11,15,16,6,4,0,1,0,0,0,0,Islamabad United,1
68,16,11,15,16,6,4,1,0,0,0,0,0,Quetta Gladiators,0
69,16,11,15,16,7,4,0,0,0,0,1,0,Quetta Gladiators,0
70,16,11,15,17,7,4,0,0,0,1,0,0,Islamabad United,1
71,16,11,15,17,8,4,0,0,0,0,1,0,Islamabad United,1
72,16,11,16,17,8,4,0,0,1,0,0,0,Islamabad United,1
73,16,11,16,18,8,4,0,0,0,1,0,0,Islamabad United,2
74,16,11,17,18,8,4,0,0,1,0,0,0,Islamabad United,1
75,16,12,17,18,8,4,0,1,0,0,0,0,Islamabad United,1
76,16,12,17,19,8,4,0,0,0,1,0,0,Islamabad United,2
77,16,12,18,19,8,4,0,0,1,0,0,0,Islamabad United,1
78,16,12,19,19,8,4,0,0,1,0,0,0,Peshawar Zalmi,0
79,16,12,19,20,8,4,0,0,0,1,0,0,Islamabad United,1
80,16,12,19,21,8,4,0,0,0,1,0,0,Islamabad United,2
81,16,13,19,21,8,4,0,1,0,0,0,0,Islamabad United,2
82,17,13,19,21,8,4,1,0,0,0,0,0,Islamabad United,2
83,17,13,19,21,8,5,0,0,0,0,0,1,Islamabad United,2
84,17,13,19,21,9,5,0,0,0,0,1,0,Islamabad United,2
85,18,13,19,21,9,5,1,0,0,0,0,0,Islamabad United,2
86,18,13,20,21,9,5,0,0,1,0,0,0,Islamabad United,1
87,19,13,20,21,9,5,1,0,0,0,0,0,Islamabad United,1
88,19,13,21,21,9,5,0,0,1,0,0,0,Peshawar Zalmi,0
89,19,13,21,21,10,5,0,0,0,0,1,0,Peshawar Zalmi,0
90,19,13,21,22,10,5,0,0,0,1,0,0,Islamabad United,1
91,20,13,21,22,10,5,1,0,0,0,0,0,Islamabad United,1
92,20,13,21,23,10,5,0,0,0,1,0,0,Islamabad United,2
93,20,13,22,23,10,5,0,0,1,0,0,0,Islamabad United,1
94,20,14,22,23,10,5,0,1,0,0,0,0,Islamabad United,1
95,20,14,22,23,10,6,0,0,0,0,0,1,Islamabad United,1
96,20,14,22,23,11,6,0,0,0,0,1,0,Islamabad United,1
97,20,14,22,24,11,6,0,0,0,1,0,0,Islamabad United,2
98,20,14,23,24,11,6,0,0,1,0,0,0,Islamabad United,1
99,20,15,23,24,11,6,0,1,0,0,0,0,Islamabad United,1
100,20,15,24,24,11,6,0,0,1,0,0,0,Peshawar Zalmi,0
101,21,15,24,24,11,6,1,0,0,0,0,0,Peshawar Zalmi,0
102,22,15,24,24,11,6,1,0,0,0,0,0,Peshawar Zalmi,0
103,22,16,24,24,11,6,0,1,0,0,0,0,Peshawar Zalmi,0
104,22,16,25,24,11,6,0,0,1,0,0,0,Peshawar Zalmi,1
105,23,16,25,24,11,6,1,0,0,0,0,0,Peshawar Zalmi,1
106,23,16,25,25,11,6,0,0,0,1,0,0,Peshawar Zalmi,0
107,23,17,25,25,11,6,0,1,0,0,0,0,Peshawar Zalmi,0
108,23,17,25,25,11,7,0,0,0,0,0,1,Peshawar Zalmi,0
109,23,17,26,25,11,7,0,0,1,0,0,0,Peshawar Zalmi,1
110,24,17,26,25,11,7,1,0,0,0,0,0,Peshawar Zalmi,1
111,24,17,26,26,11,7,0,0,0,1,0,0,Peshawar Zalmi,0
112,24,17,27,26,11,7,0,0,1,0,0,0,Peshawar Zalmi,1
113,25,17,27,26,11,7,1,0,0,0,0,0,Peshawar Zalmi,1
114,26,17,27,26,11,7,1,0,0,0,0,0,Peshawar Zalmi,1
115,26,18,27,26,11,7,0,1,0,0,0,0,Peshawar Zalmi,1
116,26,18,27,26,11,8,0,0,0,0,0,1,Peshawar Zalmi,1
117,26,18,28,26,11,8,0,0,1,0,0,0,Peshawar Zalmi,2
118,26,18,28,27,11,8,0,0,0,1,0,0,Peshawar Zalmi,1
119,27,18,28,27,11,8,1,0,0,0,0,0,Peshawar Zalmi,1
120,27,18,28,28,11,8,0,0,0,1,0,0,Peshawar Zalmi,0
121,27,18,28,28,11,9,0,0,0,0,0,1,Peshawar Zalmi,0
122,28,18,28,28,11,9,1,0,0,0,0,0,Quetta Gladiators,0
123,28,18,28,28,11,10,0,0,0,0,0,1,Quetta Gladiators,0
124,28,18,29,28,11,10,0,0,1,0,0,0,Peshawar Zalmi,1
125,28,18,29,28,11,11,0,0,0,0,0,1,Peshawar Zalmi,1
126,28,19,29,28,11,11,0,1,0,0,0,0,Peshawar Zalmi,1
127,28,20,29,28,11,11,0,1,0,0,0,0,Peshawar Zalmi,1
128,28,20,29,28,12,11,0,0,0,0,1,0,Peshawar Zalmi,1
129,28,20,29,29,12,11,0,0,0,1,0,0,Peshawar Zalmi,0
130,28,20,30,29,12,11,0,0,1,0,0,0,Peshawar Zalmi,1
131,28,20,31,29,12,11,0,0,1,0,0,0,Peshawar Zalmi,2
132,28,20,31,29,13,11,0,0,0,0,1,0,Peshawar Zalmi,2
133,28,20,31,29,13,12,0,0,0,0,0,1,Peshawar Zalmi,2
134,28,20,31,29,14,12,0,0,0,0,1,0,Peshawar Zalmi,2
135,28,20,31,29,15,12,0,0,0,0,1,0,Peshawar Zalmi,2
136,28,21,31,29,15,12,0,1,0,0,0,0,Peshawar Zalmi,2
137,28,21,31,29,15,13,0,0,0,0,0,1,Peshawar Zalmi,2
138,28,22,31,29,15,13,0,1,0,0,0,0,Peshawar Zalmi,2
139,28,22,31,29,16,13,0,0,0,0,1,0,Peshawar Zalmi,2
140,29,22,31,29,16,13,1,0,0,0,0,0,Peshawar Zalmi,2
141,29,23,31,29,16,13,0,1,0,0,0,0,Peshawar Zalmi,2
142,29,23,31,29,17,13,0,0,0,0,1,0,Peshawar Zalmi,2
143,29,23,31,29,18,13,0,0,0,0,1,0,Peshawar Zalmi,2
144,29,24,31,29,18,13,0,1,0,0,0,0,Peshawar Zalmi,2
145,29,25,31,29,18,13,0,1,0,0,0,0,Peshawar Zalmi,2
146,29,25,31,29,19,13,0,0,0,0,1,0,Peshawar Zalmi,2
147,29,25,31,30,19,13,0,0,0,1,0,0,Peshawar Zalmi,1
148,29,25,31,30,20,13,0,0,0,0,1,0,Peshawar Zalmi,1
149,29,25,32,30,20,13,0,0,1,0,0,0,Peshawar Zalmi,2
150,29,25,32,31,20,13,0,0,0,1,0,0,Peshawar Zalmi,1
151,29,25,32,31,20,14,0,0,0,0,0,1,Peshawar Zalmi,1
152,29,25,33,31,20,14,0,0,1,0,0,0,Peshawar Zalmi,2
153,29,26,33,31,20,14,0,1,0,0,0,0,Peshawar Zalmi,2
154,29,26,34,31,20,14,0,0,1,0,0,0,Peshawar Zalmi,3
155,29,26,34,31,21,14,0,0,0,0,1,0,Peshawar Zalmi,3
156,29,26,34,32,21,14,0,0,0,1,0,0,Peshawar Zalmi,2
157,29,27,34,32,21,14,0,1,0,0,0,0,Peshawar Zalmi,2
158,30,27,34,32,21,14,1,0,0,0,0,0,Peshawar Zalmi,2
159,30,27,34,32,22,14,0,0,0,0,1,0,Peshawar Zalmi,2
160,30,27,34,32,22,15,0,0,0,0,0,1,Peshawar Zalmi,2
161,30,27,34,32,23,15,0,0,0,0,1,0,Peshawar Zalmi,2
162,30,27,34,33,23,15,0,0,0,1,0,0,Peshawar Zalmi,1
163,30,27,35,33,23,15,0,0,1,0,0,0,Peshawar Zalmi,2
164,30,27,35,34,23,15,0,0,0,1,0,0,Peshawar Zalmi,1
165,30,27,35,34,23,16,0,0,0,0,0,1,Peshawar Zalmi,1
166,30,27,35,35,23,16,0,0,0,1,0,0,Peshawar Zalmi,0
167,31,27,35,35,23,16,1,0,0,0,0,0,Peshawar Zalmi,0
168,31,27,36,35,23,16,0,0,1,0,0,0,Peshawar Zalmi,1
169,31,27,36,35,23,17,0,0,0,0,0,1,Peshawar Zalmi,1
170,31,27,36,36,23,17,0,0,0,1,0,0,Peshawar Zalmi,0
171,31,28,36,36,23,17,0,1,0,0,0,0,Peshawar Zalmi,0
172,31,28,36,36,23,18,0,0,0,0,0,1,Peshawar Zalmi,0
173,31,29,36,36,23,18,0,1,0,0,0,0,Peshawar Zalmi,0
174,31,29,36,37,23,18,0,0,0,1,0,0,Islamabad United,1
175,31,29,36,37,23,19,0,0,0,0,0,1,Islamabad United,1
176,31,29,37,37,23,19,0,0,1,0,0,0,Peshawar Zalmi,0
177,31,29,38,37,23,19,0,0,1,0,0,0,Peshawar Zalmi,1
178,31,29,38,37,23,20,0,0,0,0,0,1,Peshawar Zalmi,1
179,31,29,38,37,23,21,0,0,0,0,0,1,Peshawar Zalmi,1
180,31,29,39,37,23,21,0,0,1,0,0,0,Peshawar Zalmi,2
181,31,29,39,37,23,22,0,0,0,0,0,1,Peshawar Zalmi,2
182,32,29,39,37,23,22,1,0,0,0,0,0,Peshawar Zalmi,2
183,32,29,39,38,23,22,0,0,0,1,0,0,Peshawar Zalmi,1
184,32,29,39,38,24,22,0,0,0,0,1,0,Peshawar Zalmi,1
185,32,29,39,38,24,23,0,0,0,0,0,1,Peshawar Zalmi,1
186,32,29,39,38,24,24,0,0,0,0,0,1,Peshawar Zalmi,1
187,32,29,39,38,25,24,0,0,0,0,1,0,Peshawar Zalmi,1
188,32,29,39,39,25,24,0,0,0,1,0,0,Peshawar Zalmi,0
189,32,29,40,39,25,24,0,0,1,0,0,0,Peshawar Zalmi,1
190,32,29,40,39,26,24,0,0,0,0,1,0,Peshawar Zalmi,1
191,32,29,40,39,26,25,0,0,0,0,0,1,Peshawar Zalmi,1
192,32,29,40,40,26,25,0,0,0,1,0,0,Peshawar Zalmi,0
193,33,29,40,40,26,25,1,0,0,0,0,0,Peshawar Zalmi,0
194,33,29,40,40,26,26,0,0,0,0,0,1,Peshawar Zalmi,0
195,33,29,40,40,27,26,0,0,0,0,1,0,Peshawar Zalmi,0
196,34,29,40,40,27,26,1,0,0,0,0,0,Peshawar Zalmi,0
197,34,29,41,40,27,26,0,0,1,0,0,0,Peshawar Zalmi,1
198,34,29,41,40,28,26,0,0,0,0,1,0,Peshawar Zalmi,1
199,34,29,41,41,28,26,0,0,0,1,0,0,Peshawar Zalmi,0
200,34,29,42,41,28,26,0,0,1,0,0,0,Peshawar Zalmi,1
201,34,29,42,41,28,27,0,0,0,0,0,1,Peshawar Zalmi,1
202,34,29,43,41,28,27,0,0,1,0,0,0,Peshawar Zalmi,2
203,34,29,43,41,28,28,0,0,0,0,0,1,Peshawar Zalmi,2
204,34,30,43,41,28,28,0,1,0,0,0,0,Peshawar Zalmi,2
205,34,30,43,41,29,28,0,0,0,0,1,0,Peshawar Zalmi,2
206,35,30,43,41,29,28,1,0,0,0,0,0,Peshawar Zalmi,2
207,35,30,43,41,29,29,0,0,0,0,0,1,Peshawar Zalmi,2
208,35,30,44,41,29,29,0,0,1,0,0,0,Peshawar Zalmi,3
209,35,30,44,41,29,30,0,0,0,0,0,1,Peshawar Zalmi,3
210,35,30,44,42,29,30,0,0,0,1,0,0,Peshawar Zalmi,2
211,35,30,44,42,30,30,0,0,0,0,1,0,Peshawar Zalmi,2
212,35,30,44,42,31,30,0,0,0,0,1,0,Peshawar Zalmi,2
213,35,30,44,42,32,30,0,0,0,0,1,0,Peshawar Zalmi,2
214,35,30,45,42,32,30,0,0,1,0,0,0,Peshawar Zalmi,3
215,35,30,45,42,32,31,0,0,0,0,0,1,Peshawar Zalmi,3
216,35,30,45,43,32,31,0,0,0,1,0,0,Peshawar Zalmi,2
217,35,30,45,43,32,32,0,0,0,0,0,1,Peshawar Zalmi,2
218,36,30,45,43,32,32,1,0,0,0,0,0,Peshawar Zalmi,2
219,36,30,45,43,32,33,0,0,0,0,0,1,Peshawar Zalmi,2
220,36,31,45,43,32,33,0,1,0,0,0,0,Peshawar Zalmi,2
221,36,31,46,43,32,33,0,0,1,0,0,0,Peshawar Zalmi,3
222,36,31,46,43,33,33,0,0,0,0,1,0,Peshawar Zalmi,3
223,36,31,46,43,33,34,0,0,0,0,0,1,Peshawar Zalmi,3
224,36,31,46,44,33,34,0,0,0,1,0,0,Peshawar Zalmi,2
225,36,31,46,45,33,34,0,0,0,1,0,0,Peshawar Zalmi,1
226,36,32,46,45,33,34,0,1,0,0,0,0,Peshawar Zalmi,1
227,36,32,46,45,34,34,0,0,0,0,1,0,Peshawar Zalmi,1
228,36,32,46,45,35,34,0,0,0,0,1,0,Peshawar Zalmi,1
229,36,32,47,45,35,34,0,0,1,0,0,0,Peshawar Zalmi,2
230,36,32,47,45,36,34,0,0,0,0,1,0,Peshawar Zalmi,2
231,36,32,47,46,36,34,0,0,0,1,0,0,Peshawar Zalmi,1
232,36,32,47,46,37,34,0,0,0,0,1,0,Peshawar Zalmi,1
233,36,32,47,47,37,34,0,0,0,1,0,0,Peshawar Zalmi,0
234,37,32,47,47,37,34,1,0,0,0,0,0,Peshawar Zalmi,0
235,37,32,48,47,37,34,0,0,1,0,0,0,Peshawar Zalmi,1
236,37,32,48,48,37,34,0,0,0,1,0,0,Peshawar Zalmi,0
237,38,32,48,48,37,34,1,0,0,0,0,0,Peshawar Zalmi,0
238,38,32,48,48,38,34,0,0,0,0,1,0,Peshawar Zalmi,0
239,38,32,48,48,38,35,0,0,0,0,0,1,Peshawar Zalmi,0
240,38,32,48,48,38,36,0,0,0,0,0,1,Peshawar Zalmi,0
241,38,32,49,48,38,36,0,0,1,0,0,0,Peshawar Zalmi,1
242,38,33,49,48,38,36,0,1,0,0,0,0,Peshawar Zalmi,1
243,38,33,49,48,38,37,0,0,0,0,0,1,Peshawar Zalmi,1
244,38,33,50,48,38,37,0,0,1,0,0,0,Peshawar Zalmi,2
245,38,33,50,48,39,37,0,0,0,0,1,0,Peshawar Zalmi,2
246,38,33,50,48,40,37,0,0,0,0,1,0,Peshawar Zalmi,2
247,38,33,50,49,40,37,0,0,0,1,0,0,Peshawar Zalmi,1
248,39,33,50,49,40,37,1,0,0,0,0,0,Peshawar Zalmi,1
249,39,33,50,49,40,38,0,0,0,0,0,1,Peshawar Zalmi,1
250,40,33,50,49,40,38,1,0,0,0,0,0,Peshawar Zalmi,1
251,40,33,50,49,40,39,0,0,0,0,0,1,Peshawar Zalmi,1
252,40,34,50,49,40,39,0,1,0,0,0,0,Peshawar Zalmi,1
253,40,34,50,49,40,40,0,0,0,0,0,1,Peshawar Zalmi,1
254,41,34,50,49,40,40,1,0,0,0,0,0,Peshawar Zalmi,1
255,41,34,51,49,40,40,0,0,1,0,0,0,Peshawar Zalmi,2
256,41,35,51,49,40,40,0,1,0,0,0,0,Peshawar Zalmi,2
257,41,35,51,49,40,41,0,0,0,0,0,1,Peshawar Zalmi,2
258,41,35,52,49,40,41,0,0,1,0,0,0,Peshawar Zalmi,3
259,41,35,53,49,40,41,0,0,1,0,0,0,Peshawar Zalmi,4
260,41,35,53,49,40,42,0,0,0,0,0,1,Peshawar Zalmi,4
261,41,35,53,50,40,42,0,0,0,1,0,0,Peshawar Zalmi,3
262,42,35,53,50,40,42,1,0,0,0,0,0,Peshawar Zalmi,3
263,42,35,53,50,40,43,0,0,0,0,0,1,Peshawar Zalmi,3
264,42,35,53,51,40,43,0,0,0,1,0,0,Peshawar Zalmi,2
265,42,35,54,51,40,43,0,0,1,0,0,0,Peshawar Zalmi,3
266,42,36,54,51,40,43,0,1,0,0,0,0,Peshawar Zalmi,3
267,42,36,54,51,41,43,0,0,0,0,1,0,Peshawar Zalmi,3
268,42,36,54,52,41,43,0,0,0,1,0,0,Peshawar Zalmi,2
269,42,36,55,52,41,43,0,0,1,0,0,0,Peshawar Zalmi,3
270,42,37,55,52,41,43,0,1,0,0,0,0,Peshawar Zalmi,3
271,42,37,55,53,41,43,0,0,0,1,0,0,Peshawar Zalmi,2
272,43,37,55,53,41,43,1,0,0,0,0,0,Peshawar Zalmi,2
273,43,37,56,53,41,43,0,0,1,0,0,0,Peshawar Zalmi,3
274,43,37,56,53,41,44,0,0,0,0,0,1,Peshawar Zalmi,3
275,43,37,56,53,41,45,0,0,0,0,0,1,Peshawar Zalmi,3
276,43,37,56,54,41,45,0,0,0,1,0,0,Peshawar Zalmi,2
277,43,37,56,55,41,45,0,0,0,1,0,0,Peshawar Zalmi,1
278,43,37,56,56,41,45,0,0,0,1,0,0,Peshawar Zalmi,0
