matches,innings,catches,max_in_match,catches_per_inn,player_name,teams_played,span_start,span_end,career_yrs
90,89,47,4,0.528,Babar Azam,IU/KK/PZ,2016,2024,8
53,52,42,4,0.807,KA Pollard,KK/MS/PZ,2017,2024,7
84,84,39,3,0.464,Mohammad Nawaz,KK/QG,2016,2024,8
84,84,38,2,0.452,Fakhar Zaman,LQ,2017,2024,7
84,84,38,4,0.452,Shadab Khan,IU,2017,2024,7
70,70,35,3,0.5,Iftikhar Ahmed,IU/KK/MS/PZ/QG,2016,2024,8
72,72,31,2,0.43,Faheem Ashraf,IU,2018,2024,6
82,82,31,2,0.378,Asif Ali,IU/PZ,2016,2024,8
91,90,31,2,0.344,Shoaib Malik,KK/MS/PZ,2016,2024,8
78,77,27,3,0.35,Mohammad Hafeez,LQ/PZ/QG,2016,2023,7
53,52,26,2,0.5,Shan Masood,KK/MS,2019,2024,5
84,83,26,2,0.313,RR Rossouw,MS/QG,2017,2024,7
82,81,25,2,0.308,Hasan Ali,IU/KK/PZ,2016,2024,8
59,58,24,2,0.413,Khushdil Shah,MS/PZ,2017,2024,7
88,87,24,3,0.275,Wahab Riaz,PZ,2016,2023,7
33,33,22,3,0.666,CJ Jordan,KK/MS/PZ,2017,2024,7
43,40,22,2,0.55,Umar Akmal,LQ/QG,2016,2023,7
38,38,21,3,0.552,JJ Roy,LQ/QG,2017,2024,7
45,44,20,2,0.454,Ahmed Shehzad,MS/QG,2016,2020,4
53,53,20,2,0.377,D Wiese,KK/LQ,2018,2024,6
44,44,19,3,0.431,AD Hales,IU/KK,2018,2024,6
50,50,19,2,0.38,Anwar Ali,KK/MS/QG,2016,2024,8
71,71,19,2,0.267,Shaheen Shah Afridi,LQ,2018,2024,6
90,89,19,2,0.213,Imad Wasim,IU/KK,2016,2024,8
57,57,18,2,0.315,Haris Rauf,LQ,2019,2024,5
27,27,17,3,0.629,BCJ Cutting,KK/PZ/QG,2020,2023,3
39,37,17,4,0.459,RS Bopara,KK/MS/PZ,2016,2021,5
49,48,17,2,0.354,DJG Sammy,PZ,2016,2020,4
61,59,17,2,0.288,Sohail Tanvir,KK/LQ/MS/QG,2016,2022,6
28,28,16,3,0.571,Hassan Khan,LQ/QG,2017,2022,5
44,44,16,2,0.363,Sohail Akhtar,LQ,2018,2022,4
45,45,16,3,0.355,JM Vince,KK/MS/QG,2016,2024,8
17,17,15,3,0.882,Irfan Khan,KK,2023,2024,1
22,22,15,2,0.681,TH David,LQ/MS,2021,2023,2
44,42,15,2,0.357,Imran Tahir,KK/MS,2018,2023,5
53,51,15,2,0.294,Shahid Afridi,KK/MS/PZ/QG,2016,2022,6
27,25,14,2,0.56,T Kohler-Cadmore,PZ/QG,2018,2024,6
61,61,14,2,0.229,Hussain Talat,IU/LQ/PZ,2017,2024,7
23,23,13,3,0.565,LS Livingstone,KK/PZ,2019,2022,3
33,33,13,2,0.393,LA Dawson,IU/LQ/PZ,2018,2023,5
44,44,13,2,0.295,Usama Mir,KK/MS,2016,2024,8
30,30,12,2,0.4,Saim Ayub,PZ/QG,2021,2024,3
33,33,12,2,0.363,Mohammad Wasim,IU/QG,2021,2024,3
37,36,12,2,0.333,CA Ingram,IU/KK,2018,2021,3
38,38,12,2,0.315,SR Patel,IU/LQ,2018,2022,4
45,43,12,2,0.279,Sohaib Maqsood,IU/LQ/MS/PZ,2016,2023,7
36,36,11,3,0.305,Mohammad Sami,IU,2016,2019,3
47,47,11,1,0.234,Umaid Asif,KK/PZ/QG,2018,2023,5
48,48,11,1,0.229,Rumman Raees,IU/MS,2016,2024,8
27,11,10,3,0.909,Mohammad Haris,PZ,2022,2024,2
19,19,10,2,0.526,DJ Willey,MS,2022,2024,2
26,26,10,2,0.384,Abdullah Shafique,LQ,2022,2024,2
27,27,10,3,0.37,R Powell,PZ,2021,2024,3
29,29,10,2,0.344,Misbah-ul-Haq,IU/PZ,2016,2019,3
34,34,10,1,0.294,Aamer Yamin,KK/LQ/PZ,2016,2023,7
46,46,10,2,0.217,SR Watson,IU/QG,2016,2020,4
47,47,10,2,0.212,C Munro,IU/KK,2019,2024,5
14,13,9,3,0.692,JL Denly,KK/LQ,2018,2021,3
17,15,9,2,0.6,Usman Khan,MS/QG,2021,2024,3
22,22,9,2,0.409,Amad Butt,IU/PZ,2017,2022,5
22,22,9,3,0.409,Mohammad Nabi,KK/QG,2016,2022,6
27,27,9,2,0.333,Shahnawaz Dahani,MS,2021,2024,3
10,10,8,2,0.8,JP Duminy,IU,2018,2018,0
11,11,8,2,0.727,Tayyab Tahir,KK/MS,2023,2024,1
13,13,8,2,0.615,L Gregory,IU/KK/PZ,2020,2022,2
18,18,8,2,0.444,MJ Guptill,IU/KK/QG,2021,2024,3
19,19,8,2,0.421,Ahsan Ali,QG,2019,2022,3
