matches,innings,total_dismissals,caught,stumped,dismissals_per_inn,player_name,teams_played,span_start,span_end,career_yrs,max_dis_total
83,80,83.0,68.0,15.0,1.037,Mohammad Rizwan,KK/LQ/MS,2016,2024,8,4
75,72,62.0,53.0,9.0,0.861,Kamran Akmal,PZ,2016,2022,6,4
86,85,56.0,43.0,13.0,0.658,Sarfaraz Ahmed,QG,2016,2024,8,3
30,26,25.0,22.0,3.0,0.961,BR Dunk,KK/LQ,2019,2022,3,4
54,34,24.0,19.0,5.0,0.705,Azam Khan,IU/QG,2019,2024,5,2
31,31,22.0,19.0,3.0,0.709,L Ronchi,IU,2018,2020,2,3
24,19,20.0,19.0,1.0,1.052,KC Sangakkara,KK/MS/QG,2016,2018,2,3
27,16,14.0,12.0,2.0,0.875,Mohammad Haris,PZ,2022,2024,2,3
20,13,13.0,13.0,0.0,1.0,SW Billings,IU/LQ,2016,2023,7,4
27,17,13.0,11.0,2.0,0.764,CAK Walton,IU/KK,2018,2021,3,2
17,17,12.0,11.0,1.0,0.705,BJ Haddin,IU,2016,2017,1,2
14,11,11.0,10.0,1.0,1.0,Haseebullah Khan,PZ,2023,2024,1,4
19,13,10.0,7.0,3.0,0.769,PD Salt,IU/LQ,2019,2022,3,2
16,12,8.0,7.0,1.0,0.666,Zeeshan Ashraf,LQ/MS,2020,2022,2,3
13,11,7.0,6.0,1.0,0.636,JM Clarke,KK,2021,2022,1,4
9,6,6.0,4.0,2.0,1.0,MS Wade,KK,2023,2023,0,3
10,8,6.0,6.0,0.0,0.75,Muhammad Akhlaq,IU/KK,2021,2024,3,2
5,5,5.0,4.0,1.0,1.0,DJ Vilas,LQ,2020,2020,0,3
7,6,5.0,4.0,1.0,0.833,Umar Siddiq,MS,2019,2019,0,2
8,7,5.0,5.0,0.0,0.714,SD Hope,LQ,2023,2024,1,2
17,2,4.0,3.0,1.0,2.0,Usman Khan,MS/QG,2021,2024,3,2
9,4,4.0,4.0,0.0,1.0,LJ Evans,MS/QG,2019,2024,5,1
9,6,4.0,3.0,1.0,0.666,Rohail Nazir,IU/KK/MS,2020,2022,2,2
3,3,3.0,1.0,2.0,1.0,Mushfiqur Rahim,KK,2016,2016,0,2
22,6,3.0,2.0,1.0,0.5,Sahibzada Farhan,IU/KK/LQ,2018,2024,6,1
7,7,3.0,3.0,0.0,0.428,TL Seifert,KK,2024,2024,0,2
22,1,2.0,2.0,0.0,2.0,Imam-ul-Haq,PZ,2019,2021,2,2
43,3,2.0,1.0,1.0,0.666,Umar Akmal,LQ/QG,2016,2023,7,1
5,5,2.0,2.0,0.0,0.4,Gulraiz Sadaf,LQ,2018,2018,0,1
5,5,2.0,2.0,0.0,0.4,Saifullah Bangash,KK,2016,2016,0,1
18,1,1.0,1.0,0.0,1.0,J Charles,MS,2019,2024,5,1
3,2,1.0,0.0,1.0,0.5,TJ Moores,MS,2019,2019,0,1
3,3,1.0,1.0,0.0,0.333,Gauhar Ali,LQ,2019,2019,0,1
3,3,1.0,1.0,0.0,0.333,AM Rossington,KK,2023,2023,0,1
4,4,1.0,1.0,0.0,0.25,D Ramdin,LQ,2018,2018,0,1
15,1,0.0,0.0,0.0,0.0,Rahmanullah Gurbaz,IU/MS,2021,2023,2,0
1,1,0.0,0.0,0.0,0.0,Saad Baig,KK,2024,2024,0,0
1,1,0.0,0.0,0.0,0.0,Sajjad Ali,QG,2024,2024,0,0
1,1,0.0,0.0,0.0,0.0,Shakeel Ansar,MS,2019,2019,0,0
1,1,0.0,0.0,0.0,0.0,LJ Tucker,LQ,2024,2024,0,0
1,1,0.0,0.0,0.0,0.0,Umair Masood,LQ,2019,2019,0,0
27,2,0.0,0.0,0.0,0.0,T Kohler-Cadmore,PZ/QG,2018,2024,6,0
4,4,0.0,0.0,0.0,0.0,BRM Taylor,LQ,2019,2019,0,0
8,4,0.0,0.0,0.0,0.0,MH Wessels,KK/LQ/PZ,2016,2019,3,0
