matches,innings,not_outs,runs,high_score,average,balls_faced,strike_rate,centuries,fifties,ducks,fours,player_name,teams_played,num_teams,span_start,span_end,career_yrs,hs_not_out
90,88,11,3504,115.0,45.5,2750,127.41,2,33,8,386,Babar Azam,IU/KK/PZ,3,2016,2024,8,False
84,84,1,2525,115.0,30.42,1800,140.27,2,19,5,237,Fakhar Zaman,LQ,1,2017,2024,7,False
83,72,14,2403,110.0,41.43,1885,127.48,1,20,5,216,Mohammad Rizwan,KK/LQ/MS,3,2016,2024,8,True
91,87,17,2336,73.0,33.37,1824,128.07,0,15,4,169,Shoaib Malik,KK/MS/PZ,3,2016,2024,8,False
84,80,17,2015,121.0,31.98,1412,142.7,2,10,4,192,RR Rossouw,MS/QG,2,2017,2024,7,False
75,74,2,1972,107.0,27.38,1440,136.94,3,12,8,213,Kamran Akmal,PZ,1,2016,2022,6,True
78,74,11,1731,98.0,27.47,1391,124.44,0,9,5,159,Mohammad Hafeez,LQ/PZ/QG,3,2016,2023,7,True
86,73,21,1525,81.0,29.32,1243,122.68,0,7,2,136,Sarfaraz Ahmed,QG,1,2016,2024,8,False
53,52,0,1476,88.0,28.38,1134,130.15,0,9,2,178,Shan Masood,KK/MS,2,2019,2024,5,False
47,47,4,1417,90.0,32.95,941,150.58,0,12,4,131,C Munro,IU/KK,2,2019,2024,5,True
46,46,4,1361,91.0,32.4,982,138.59,0,9,2,123,SR Watson,IU/QG,2,2016,2020,4,True
38,38,3,1260,145.0,36.0,860,146.51,2,8,3,149,JJ Roy,LQ/QG,2,2017,2024,7,True
84,70,9,1240,91.0,20.32,890,139.32,0,8,7,84,Shadab Khan,IU,1,2017,2024,7,False
90,72,26,1212,92.0,26.34,869,139.47,0,6,12,112,Imad Wasim,IU/KK,2,2016,2024,8,True
82,72,18,1202,75.0,22.25,768,156.51,0,3,3,70,Asif Ali,IU/PZ,2,2016,2024,8,False
44,42,2,1180,82.0,29.5,837,140.97,0,6,3,135,AD Hales,IU/KK,2,2018,2024,6,True
45,45,3,1166,84.0,27.76,853,136.69,0,4,4,144,JM Vince,KK/MS/QG,3,2016,2024,8,False
53,48,18,1149,73.0,38.3,708,162.28,0,6,2,79,KA Pollard,KK/MS/PZ,3,2017,2024,7,False
54,50,5,1140,97.0,25.33,776,146.9,0,6,5,100,Azam Khan,IU/QG,2,2019,2024,5,False
49,48,2,1127,117.0,24.5,805,140.0,2,4,5,101,Sharjeel Khan,IU/KK,2,2016,2023,7,False
45,43,2,1077,99.0,26.26,897,120.06,0,9,4,109,Ahmed Shehzad,MS/QG,2,2016,2020,4,False
45,43,8,1045,85.0,29.85,810,129.01,0,8,3,90,Sohaib Maqsood,IU/LQ/MS/PZ,4,2016,2023,7,True
70,61,18,1036,71.0,24.09,780,132.82,0,5,4,74,Iftikhar Ahmed,IU/KK/MS/PZ/QG,5,2016,2024,8,True
43,40,6,1029,93.0,30.26,713,144.31,0,8,3,78,Umar Akmal,LQ/QG,2,2016,2023,7,False
31,31,3,1020,94.0,36.42,614,166.12,0,10,4,116,L Ronchi,IU,1,2018,2020,2,True
61,50,8,965,63.0,22.97,793,121.68,0,4,2,80,Hussain Talat,IU/LQ/PZ,3,2017,2024,7,False
39,38,2,873,117.0,24.25,688,126.88,1,5,6,80,CS Delport,IU/KK/LQ/QG,4,2016,2021,5,True
37,35,8,819,127.0,30.33,558,146.77,1,3,2,69,CA Ingram,IU/KK,2,2018,2021,3,True
84,64,17,816,52.0,17.36,713,114.44,0,1,3,72,Mohammad Nawaz,KK/QG,2,2016,2024,8,False
44,42,9,808,75.0,24.48,656,123.17,0,3,2,79,Sohail Akhtar,LQ,1,2018,2022,4,False
72,55,20,803,55.0,22.94,555,144.68,0,3,3,68,Faheem Ashraf,IU,1,2018,2024,6,False
30,30,0,800,88.0,26.66,530,150.94,0,7,3,77,Saim Ayub,PZ/QG,2,2021,2024,3,False
39,36,9,775,71.0,28.7,658,117.78,0,5,1,63,RS Bopara,KK/MS/PZ,3,2016,2021,5,True
41,40,6,769,69.0,22.61,564,136.34,0,4,5,71,Haider Ali,IU/KK/PZ,3,2020,2024,4,False
17,17,3,747,120.0,53.35,469,159.27,3,3,2,88,Usman Khan,MS/QG,2,2021,2024,3,False
28,25,4,701,73.0,33.38,611,114.72,0,5,1,67,DR Smith,IU/PZ/QG,3,2016,2019,3,False
59,48,20,693,70.0,24.75,492,140.85,0,1,1,48,Khushdil Shah,MS/PZ,2,2017,2024,7,True
49,39,12,691,48.0,25.59,472,146.39,0,0,2,48,DJG Sammy,PZ,1,2016,2020,4,False
26,26,2,678,75.0,28.25,499,135.87,0,5,1,59,Abdullah Shafique,LQ,1,2022,2024,2,False
27,26,1,658,85.0,26.32,384,171.35,0,3,2,67,Mohammad Haris,PZ,1,2022,2024,2,False
25,25,3,631,64.0,28.68,516,122.28,0,5,2,58,DJ Malan,IU/MS/PZ,3,2016,2024,8,False
53,45,20,629,48.0,25.16,388,162.11,0,0,3,40,D Wiese,KK/LQ,2,2018,2024,6,True
24,23,1,613,65.0,27.86,485,126.39,0,5,2,64,KC Sangakkara,KK/MS/QG,3,2016,2018,2,False
27,25,2,611,88.0,26.56,439,139.17,0,4,4,43,KP Pietersen,QG,1,2016,2018,2,True
20,20,4,605,80.0,37.81,535,113.08,0,4,0,61,Tamim Iqbal,LQ/PZ,2,2016,2020,4,True
22,22,8,605,71.0,43.21,337,179.52,0,4,0,40,TH David,LQ/MS,2,2021,2023,2,False
30,27,5,596,99.0,27.09,412,144.66,0,3,0,41,BR Dunk,KK/LQ,2,2019,2022,3,True
30,29,7,588,70.0,26.72,399,147.36,0,3,2,39,SE Rutherford,KK/PZ/QG,3,2020,2024,4,True
27,27,2,586,92.0,23.44,430,136.27,0,4,2,50,T Kohler-Cadmore,PZ/QG,2,2018,2024,6,False
22,22,0,542,59.0,24.63,436,124.31,0,5,2,50,Imam-ul-Haq,PZ,1,2019,2021,2,False
27,26,2,529,64.0,22.04,441,119.95,0,3,0,46,Agha Salman,IU/LQ,2,2018,2024,6,True
18,18,1,519,117.0,30.52,372,139.51,1,3,2,51,MJ Guptill,IU/KK/QG,3,2021,2024,3,False
13,13,2,512,104.0,46.54,351,145.86,1,3,0,41,HE van der Dussen,IU/LQ,2,2023,2024,1,True
29,22,6,507,61.0,31.68,453,111.92,0,2,0,42,Misbah-ul-Haq,IU/PZ,2,2016,2019,3,True
27,26,6,504,64.0,25.2,327,154.12,0,1,3,43,R Powell,PZ,1,2021,2024,3,False
27,26,5,481,53.0,22.9,306,157.18,0,2,4,33,BCJ Cutting,KK/PZ/QG,3,2020,2023,3,False
33,27,4,471,62.0,20.47,376,125.26,0,2,2,32,LA Dawson,IU/LQ/PZ,3,2018,2023,5,False
53,38,8,469,54.0,15.63,311,150.8,0,1,5,23,Shahid Afridi,KK/MS/PZ/QG,4,2016,2022,6,False
23,22,3,468,82.0,24.63,353,132.57,0,4,3,35,LS Livingstone,KK/PZ,2,2019,2022,3,False
22,21,3,457,72.0,25.38,381,119.94,0,3,1,49,Sahibzada Farhan,IU/KK/LQ,3,2018,2024,6,True
38,24,8,455,71.0,28.43,374,121.65,0,1,0,54,SR Patel,IU/LQ,2,2018,2022,4,False
27,25,4,451,48.0,21.47,323,139.62,0,0,3,36,CAK Walton,IU/KK,2,2018,2021,3,False
19,18,1,444,73.0,26.11,335,132.53,0,3,0,49,Ahsan Ali,QG,1,2019,2022,3,False
18,16,1,435,57.0,29.0,283,153.71,0,3,2,45,J Charles,MS,1,2019,2024,5,False
21,20,1,419,55.0,22.05,361,116.06,0,1,1,36,Kamran Ghulam,IU/LQ,2,2016,2024,8,True
20,19,3,402,78.0,25.12,306,131.37,0,2,2,38,SW Billings,IU/LQ,2,2016,2023,7,True
12,12,0,382,77.0,31.83,250,152.8,0,4,2,45,Hazratullah Zazai,PZ,1,2021,2022,1,False
16,16,0,370,68.0,23.12,271,136.53,0,2,2,24,CH Gayle,KK/LQ/QG,3,2016,2021,5,False
88,54,21,359,33.0,10.87,280,128.21,0,0,10,31,Wahab Riaz,PZ,1,2016,2023,7,True
14,13,1,354,79.0,29.5,287,123.34,0,3,2,42,JL Denly,KK/LQ,2,2018,2021,3,True
22,18,4,350,67.0,25.0,245,142.85,0,2,1,31,Mohammad Nabi,KK/QG,2,2016,2022,6,False
