matches,innings,not_outs,runs,high_score,average,balls_faced,strike_rate,centuries,fifties,ducks,fours,player_name,teams_played,num_teams,span_start,span_end,career_yrs,hs_not_out,runs_per_match,boundary_runs,boundary_pct,innings_per_match,not_out_rate,duck_rate,conversion_rate,career_stage,franchise_loyalty,bat_efficiency_score
90,88,11,3504,115.0,45.5,2750,127.41,2,33,8,386,Babar Azam,IU/KK/PZ,3,2016,2024,8,False,38.93,1544,44.1,0.978,12.5,9.1,5.7,Veteran,Versatile,78.26
84,84,1,2525,115.0,30.42,1800,140.27,2,19,5,237,Fakhar Zaman,LQ,1,2017,2024,7,False,30.06,948,37.5,1.0,1.2,6.0,9.5,Veteran,Loyal,58.54
83,72,14,2403,110.0,41.43,1885,127.48,1,20,5,216,Mohammad Rizwan,KK/LQ/MS,3,2016,2024,8,True,28.95,864,36.0,0.867,19.4,6.9,4.8,Veteran,Versatile,63.44
91,87,17,2336,73.0,33.37,1824,128.07,0,15,4,169,Shoaib Malik,KK/MS/PZ,3,2016,2024,8,False,25.67,676,28.9,0.956,19.5,4.6,0.0,Veteran,Versatile,55.9
84,80,17,2015,121.0,31.98,1412,142.7,2,10,4,192,RR Rossouw,MS/QG,2,2017,2024,7,False,23.99,768,38.1,0.952,21.2,5.0,16.7,Veteran,Versatile,55.31
75,74,2,1972,107.0,27.38,1440,136.94,3,12,8,213,Kamran Akmal,PZ,1,2016,2022,6,True,26.29,852,43.2,0.987,2.7,10.8,20.0,Veteran,Loyal,49.33
78,74,11,1731,98.0,27.47,1391,124.44,0,9,5,159,Mohammad Hafeez,LQ/PZ/QG,3,2016,2023,7,True,22.19,636,36.7,0.949,14.9,6.8,0.0,Veteran,Versatile,43.6
86,73,21,1525,81.0,29.32,1243,122.68,0,7,2,136,Sarfaraz Ahmed,QG,1,2016,2024,8,False,17.73,544,35.7,0.849,28.8,2.7,0.0,Veteran,Loyal,42.62
53,52,0,1476,88.0,28.38,1134,130.15,0,9,2,178,Shan Masood,KK/MS,2,2019,2024,5,False,27.85,712,48.2,0.981,0.0,3.8,0.0,Developing,Versatile,43.3
47,47,4,1417,90.0,32.95,941,150.58,0,12,4,131,C Munro,IU/KK,2,2019,2024,5,True,30.15,524,37.0,1.0,8.5,8.5,0.0,Developing,Versatile,52.12
