matches,innings,not_outs,runs,high_score,average,balls_faced,strike_rate,centuries,fifties,ducks,fours,sixes,player_name,teams_played,span_start,span_end,career_yrs,hs_not_out
84,84,1,2525,115.0,30.42,1800,140.27,2,19,5,237,104,Fakhar Zaman,LQ,2017,2024,7,False
82,72,18,1202,75.0,22.25,768,156.51,0,3,3,70,90,Asif Ali,IU/PZ,2016,2024,8,False
75,74,2,1972,107.0,27.38,1440,136.94,3,12,8,213,89,Kamran Akmal,PZ,2016,2022,6,True
91,87,17,2336,73.0,33.37,1824,128.07,0,15,4,169,82,Shoaib Malik,KK/MS/PZ,2016,2024,8,False
46,46,4,1361,91.0,32.4,982,138.59,0,9,2,123,81,SR Watson,IU/QG,2016,2020,4,True
84,80,17,2015,121.0,31.98,1412,142.7,2,10,4,192,79,RR Rossouw,MS/QG,2017,2024,7,False
53,48,18,1149,73.0,38.3,708,162.28,0,6,2,79,77,KA Pollard,KK/MS/PZ,2017,2024,7,False
49,48,2,1127,117.0,24.5,805,140.0,2,4,5,101,74,Sharjeel Khan,IU/KK,2016,2023,7,False
47,47,4,1417,90.0,32.95,941,150.58,0,12,4,131,71,C Munro,IU/KK,2019,2024,5,True
84,70,9,1240,91.0,20.32,890,139.32,0,8,7,84,66,Shadab Khan,IU,2017,2024,7,False
78,74,11,1731,98.0,27.47,1391,124.44,0,9,5,159,66,Mohammad Hafeez,LQ/PZ/QG,2016,2023,7,True
54,50,5,1140,97.0,25.33,776,146.9,0,6,5,100,63,Azam Khan,IU/QG,2019,2024,5,False
43,40,6,1029,93.0,30.26,713,144.31,0,8,3,78,60,Umar Akmal,LQ/QG,2016,2023,7,False
83,72,14,2403,110.0,41.43,1885,127.48,1,20,5,216,60,Mohammad Rizwan,KK/LQ/MS,2016,2024,8,True
90,88,11,3504,115.0,45.5,2750,127.41,2,33,8,386,58,Babar Azam,IU/KK/PZ,2016,2024,8,False
70,61,18,1036,71.0,24.09,780,132.82,0,5,4,74,51,Iftikhar Ahmed,IU/KK/MS/PZ/QG,2016,2024,8,True
31,31,3,1020,94.0,36.42,614,166.12,0,10,4,116,50,L Ronchi,IU,2018,2020,2,True
45,43,8,1045,85.0,29.85,810,129.01,0,8,3,90,50,Sohaib Maqsood,IU/LQ/MS/PZ,2016,2023,7,True
38,38,3,1260,145.0,36.0,860,146.51,2,8,3,149,44,JJ Roy,LQ/QG,2017,2024,7,True
49,39,12,691,48.0,25.59,472,146.39,0,0,2,48,44,DJG Sammy,PZ,2016,2020,4,False
22,22,8,605,71.0,43.21,337,179.52,0,4,0,40,43,TH David,LQ/MS,2021,2023,2,False
90,72,26,1212,92.0,26.34,869,139.47,0,6,12,112,43,Imad Wasim,IU/KK,2016,2024,8,True
44,42,2,1180,82.0,29.5,837,140.97,0,6,3,135,42,AD Hales,IU/KK,2018,2024,6,True
30,30,0,800,88.0,26.66,530,150.94,0,7,3,77,41,Saim Ayub,PZ/QG,2021,2024,3,False
53,45,20,629,48.0,25.16,388,162.11,0,0,3,40,41,D Wiese,KK/LQ,2018,2024,6,True
37,35,8,819,127.0,30.33,558,146.77,1,3,2,69,40,CA Ingram,IU/KK,2018,2021,3,True
30,29,7,588,70.0,26.72,399,147.36,0,3,2,39,39,SE Rutherford,KK/PZ/QG,2020,2024,4,True
72,55,20,803,55.0,22.94,555,144.68,0,3,3,68,39,Faheem Ashraf,IU,2018,2024,6,False
53,38,8,469,54.0,15.63,311,150.8,0,1,5,23,36,Shahid Afridi,KK/MS/PZ/QG,2016,2022,6,False
41,40,6,769,69.0,22.61,564,136.34,0,4,5,71,36,Haider Ali,IU/KK/PZ,2020,2024,4,False
45,45,3,1166,84.0,27.76,853,136.69,0,4,4,144,35,JM Vince,KK/MS/QG,2016,2024,8,False
30,27,5,596,99.0,27.09,412,144.66,0,3,0,41,34,BR Dunk,KK/LQ,2019,2022,3,True
59,48,20,693,70.0,24.75,492,140.85,0,1,1,48,34,Khushdil Shah,MS/PZ,2017,2024,7,True
27,26,5,481,53.0,22.9,306,157.18,0,2,4,33,33,BCJ Cutting,KK/PZ/QG,2020,2023,3,False
39,38,2,873,117.0,24.25,688,126.88,1,5,6,80,33,CS Delport,IU/KK/LQ/QG,2016,2021,5,True
44,42,9,808,75.0,24.48,656,123.17,0,3,2,79,32,Sohail Akhtar,LQ,2018,2022,4,False
45,43,2,1077,99.0,26.26,897,120.06,0,9,4,109,32,Ahmed Shehzad,MS/QG,2016,2020,4,False
28,25,4,701,73.0,33.38,611,114.72,0,5,1,67,31,DR Smith,IU/PZ/QG,2016,2019,3,False
27,26,1,658,85.0,26.32,384,171.35,0,3,2,67,31,Mohammad Haris,PZ,2022,2024,2,False
27,25,2,611,88.0,26.56,439,139.17,0,4,4,43,30,KP Pietersen,QG,2016,2018,2,True
16,16,0,370,68.0,23.12,271,136.53,0,2,2,24,29,CH Gayle,KK/LQ/QG,2016,2021,5,False
27,27,2,586,92.0,23.44,430,136.27,0,4,2,50,29,T Kohler-Cadmore,PZ/QG,2018,2024,6,False
71,35,9,328,55.0,12.61,233,140.77,0,2,7,18,27,Shaheen Shah Afridi,LQ,2018,2024,6,False
61,50,8,965,63.0,22.97,793,121.68,0,4,2,80,27,Hussain Talat,IU/LQ/PZ,2017,2024,7,False
