player,runs,mins,balls,4s,6s,sr,team,opposition,ground,is_not_out,match_date,match_year,match_month
BR Dunk,99.0,,40,3.0,12,247.5,Lahore Qalandars,Karachi Kings,Lahore,False,2020-03-08,2020,3
BR Dunk,93.0,,43,3.0,10,216.27,Lahore Qalandars,Quetta Gladiators,Lahore,False,2020-03-03,2020,3
Fakhar Zaman,96.0,100.0,45,3.0,10,213.33,Lahore Qalandars,Peshawar Zalmi,Lahore,False,2023-02-26,2023,2
Shadab Khan,91.0,70.0,42,5.0,9,216.66,Islamabad United,Multan Sultans,Karachi,False,2022-02-01,2022,2
Usman Khan,120.0,56.0,43,12.0,9,279.06,Multan Sultans,Quetta Gladiators,Rawalpindi,False,2023-03-11,2023,3
Umar Akmal,93.0,,40,6.0,8,232.5,Lahore Qalandars,Quetta Gladiators,Dubai (DICS),False,2016-02-08,2016,2
Sharjeel Khan,117.0,,62,12.0,8,188.7,Islamabad United,Peshawar Zalmi,Dubai (DICS),False,2016-02-21,2016,2
KP Pietersen,88.0,,42,3.0,8,209.52,Quetta Gladiators,Lahore Qalandars,Sharjah,False,2017-02-18,2017,2
Kamran Akmal,77.0,,27,5.0,8,285.18,Peshawar Zalmi,Karachi Kings,Lahore,False,2018-03-21,2018,3
CA Ingram,127.0,,59,12.0,8,215.25,Karachi Kings,Quetta Gladiators,Sharjah,False,2019-02-24,2019,2
CA Lynn,113.0,,55,12.0,8,205.45,Lahore Qalandars,Multan Sultans,Lahore,False,2020-03-15,2020,3
Sharjeel Khan,105.0,100.0,59,9.0,8,177.96,Karachi Kings,Islamabad United,Karachi,False,2021-02-24,2021,2
JJ Roy,116.0,77.0,57,11.0,8,203.5,Quetta Gladiators,Lahore Qalandars,Karachi,False,2022-02-07,2022,2
Azam Khan,97.0,66.0,42,9.0,8,230.95,Islamabad United,Quetta Gladiators,Karachi,False,2023-02-24,2023,2
Fakhar Zaman,115.0,96.0,57,8.0,8,201.75,Lahore Qalandars,Islamabad United,Rawalpindi,False,2023-03-09,2023,3
RR Rossouw,121.0,87.0,51,12.0,8,237.25,Multan Sultans,Peshawar Zalmi,Rawalpindi,False,2023-03-10,2023,3
SR Watson,79.0,,47,4.0,7,168.08,Islamabad United,Lahore Qalandars,Sharjah,False,2016-02-10,2016,2
Sharjeel Khan,79.0,,43,5.0,7,183.72,Islamabad United,Lahore Qalandars,Sharjah,False,2016-02-10,2016,2
Kamran Akmal,104.0,,65,6.0,7,160.0,Peshawar Zalmi,Karachi Kings,Dubai (DICS),False,2017-03-03,2017,3
Sohaib Maqsood,85.0,,42,4.0,7,202.38,Multan Sultans,Peshawar Zalmi,Dubai (DICS),False,2018-03-06,2018,3
SR Watson,90.0,,58,5.0,7,155.17,Quetta Gladiators,Karachi Kings,Dubai (DICS),False,2018-03-08,2018,3
AP Devcich,70.0,,42,2.0,7,166.66,Lahore Qalandars,Peshawar Zalmi,Sharjah,False,2018-03-16,2018,3
Kamran Akmal,107.0,,61,11.0,7,175.4,Peshawar Zalmi,Lahore Qalandars,Sharjah,False,2018-03-16,2018,3
Mohammad Hafeez,98.0,,57,7.0,7,171.92,Lahore Qalandars,Islamabad United,Lahore,False,2020-02-23,2020,2
SR Watson,80.0,,41,7.0,7,195.12,Quetta Gladiators,Multan Sultans,Multan,False,2020-02-29,2020,2
Azam Khan,85.0,81.0,45,6.0,7,188.88,Islamabad United,Peshawar Zalmi,Lahore,False,2022-02-17,2022,2
CH Gayle,60.0,,34,3.0,6,176.47,Lahore Qalandars,Quetta Gladiators,Dubai (DICS),False,2016-02-16,2016,2
BJ Hodge,85.0,,45,6.0,6,188.88,Peshawar Zalmi,Karachi Kings,Dubai (DICS),False,2016-02-17,2016,2
Kamran Akmal,88.0,,48,6.0,6,183.33,Peshawar Zalmi,Islamabad United,Dubai (DICS),False,2017-02-09,2017,2
Mohammad Hafeez,77.0,,47,5.0,6,163.82,Peshawar Zalmi,Quetta Gladiators,Sharjah,False,2017-02-28,2017,2
L Ronchi,77.0,,41,5.0,6,187.8,Islamabad United,Lahore Qalandars,Dubai (DICS),False,2018-03-08,2018,3
KA Pollard,73.0,,47,5.0,6,155.31,Multan Sultans,Islamabad United,Sharjah,False,2018-03-13,2018,3
Fakhar Zaman,94.0,,50,9.0,6,188.0,Lahore Qalandars,Quetta Gladiators,Sharjah,False,2018-03-14,2018,3
Kamran Akmal,75.0,,51,3.0,6,147.05,Peshawar Zalmi,Karachi Kings,Sharjah,False,2018-03-15,2018,3
CA Ingram,68.0,,39,1.0,6,174.35,Karachi Kings,Islamabad United,Dubai (DICS),False,2018-03-18,2018,3
LS Livingstone,82.0,,43,6.0,6,190.69,Karachi Kings,Multan Sultans,Dubai (DICS),False,2019-02-15,2019,2
