matches,innings,balls,overs,maidens,runs_conceded,wickets,bowling_avg,economy,bowling_sr,four_wicket_hauls,five_wicket_hauls,player_name,teams_played,span_start,span_end,career_yrs,bbi_wkts,bbi_runs,wickets_per_match,wickets_per_over,tightness_score,bowl_impact_score,is_match_winner,num_teams
88,87,1973,328.5,3,2563,113,22.68,7.79,17.46,1,0,Wahab Riaz,PZ,2016,2023,7,4,17,1.284,0.344,35.1,83.27,False,1
82,81,1852,308.4,2,2480,108,22.96,8.03,17.14,4,0,Hasan Ali,IU/KK/PZ,2016,2024,8,4,15,1.317,0.35,33.1,80.44,True,3
71,71,1623,270.3,4,2166,103,21.02,8.0,15.75,3,2,Shaheen Shah Afridi,LQ,2018,2024,6,5,4,1.451,0.381,33.3,80.23,True,1
84,83,1804,300.4,1,2310,91,25.38,7.68,19.82,2,1,Shadab Khan,IU,2017,2024,7,5,28,1.083,0.303,36.0,72.74,True,1
72,70,1385,230.5,1,1944,78,24.92,8.42,17.75,1,1,Faheem Ashraf,IU,2018,2024,6,6,19,1.083,0.338,29.8,66.17,True,1
75,74,1658,276.2,6,2094,73,28.68,7.57,22.71,3,0,Mohammad Amir,KK/QG,2016,2024,8,4,25,0.973,0.264,36.9,63.17,True,2
84,83,1624,270.4,1,2063,72,28.65,7.62,22.55,1,0,Mohammad Nawaz,KK/QG,2016,2024,8,4,13,0.857,0.266,36.5,62.7,False,2
57,57,1285,214.1,0,1950,66,29.54,9.1,19.46,1,0,Haris Rauf,LQ,2019,2024,5,4,23,1.158,0.308,24.2,56.07,False,1
90,86,1689,281.3,2,1989,63,31.57,7.06,26.8,0,1,Imad Wasim,IU/KK,2016,2024,8,5,23,0.7,0.224,41.2,57.43,True,2
44,44,934,155.4,0,1279,59,21.67,8.21,15.83,0,1,Usama Mir,KK/MS,2016,2024,8,6,40,1.341,0.379,31.6,62.11,True,2
44,42,936,156.0,2,1100,56,19.64,7.05,16.71,0,0,Imran Tahir,KK/MS,2018,2023,5,3,7,1.273,0.359,41.2,66.07,False,2
61,59,1289,214.5,2,1705,55,31.0,7.93,23.43,2,0,Sohail Tanvir,KK/LQ/MS/QG,2016,2022,6,4,13,0.902,0.256,33.9,53.55,True,4
