Player,Overs,Mdns,Runs,Wkts,Econ,Team,Inns,Opposition,Ground,Match Date
RS Bopara,4.0,-,16,6,4.00,Kings,2,v Qalandars,Sharjah,12 Feb 2016
Faheem Ashraf,4.0,-,19,6,4.75,United,2,v Qalandars,Karachi,09 Mar 2019
Umar Gul,4.0,-,24,6,6.00,Sultans,2,v Gladiators,Dubai (DICS),07 Mar 2018
Usama Mir,4.0,-,40,6,10.00,Sultans,2,v Qalandars,Lahore,27 Feb 2024
Shaheen Shah Afridi,3.4,1,4,5,1.09,Qalandars,1,v Sultans,Dubai (DICS),09 Mar 2018
Shahid Afridi,4.0,1,7,5,1.75,Zalmi,1,v Gladiators,Sharjah,14 Feb 2016
Mohammad Sami,4.0,-,8,5,2.00,United,1,v Kings,Dubai (DICS),20 Feb 2016
Ihsanullah,4.0,1,12,5,3.00,Sultans,1,v Gladiators,Multan,15 Feb 2023
Rashid Khan,4.0,1,20,5,5.00,Qalandars,2,v Zalmi,Abu Dhabi,10 Jun 2021
Naseem Shah,3.3,-,20,5,5.71,Gladiators,1,v Kings,Karachi,29 Jan 2022
Imad Wasim,4.0,-,23,5,5.75,United,1,v Sultans,Karachi,18 Mar 2024
Arif Yaqoob,4.0,-,27,5,6.75,Zalmi,2,v United,Lahore,26 Feb 2024
Shadab Khan,4.0,-,28,5,7.00,United,2,v Gladiators,Karachi,03 Feb 2022
Shaheen Shah Afridi,4.0,-,40,5,10.00,Qalandars,2,v Zalmi,Lahore,26 Feb 2023
Abbas Afridi,4.0,-,47,5,11.75,Sultans,2,v Gladiators,Rawalpindi,11 Mar 2023
SR Patel,4.0,1,5,4,1.25,Qalandars,1,v Gladiators,Lahore,07 Mar 2020
Shahnawaz Dahani,3.1,1,5,4,1.57,Sultans,2,v Qalandars,Abu Dhabi,18 Jun 2021
Yasir Shah,4.0,-,7,4,1.75,Qalandars,2,v Zalmi,Dubai (DICS),12 Feb 2017
S Lamichhane,4.0,-,10,4,2.50,Qalandars,1,v Gladiators,Dubai (DICS),27 Feb 2019
Mohammad Nawaz,4.0,-,13,4,3.25,Gladiators,1,v United,Dubai (DICS),04 Feb 2016
Sohail Tanvir,3.3,1,13,4,3.71,Sultans,1,v Zalmi,Multan,26 Feb 2020
Zafar Gohar,3.2,-,14,4,4.20,Qalandars,2,v Gladiators,Dubai (DICS),08 Feb 2016
GD Elliott,4.0,-,15,4,3.75,Gladiators,1,v Kings,Sharjah,13 Feb 2016
Hasan Ali,4.0,-,15,4,3.75,Zalmi,1,v Qalandars,Dubai (DICS),17 Feb 2019
Hasan Ali,4.0,-,15,4,3.75,Zalmi,2,v Kings,Sharjah,21 Feb 2019
Usman Shinwari,4.0,-,15,4,3.75,Kings,1,v Sultans,Abu Dhabi,04 Mar 2019
Shadab Khan,4.0,-,15,4,3.75,United,2,v Kings,Karachi,06 Feb 2022
Hasan Ali,4.0,-,15,4,3.75,Kings,1,v Gladiators,Rawalpindi,06 Mar 2024
Rahat Ali,4.0,-,16,4,4.00,Gladiators,1,v Zalmi,Lahore,20 Mar 2018
Zaman Khan,3.5,1,16,4,4.17,Qalandars,1,v Kings,Lahore,18 Feb 2022
Usman Shinwari,4.0,-,17,4,4.25,Kings,1,v United,Sharjah,16 Mar 2018
Hasan Ali,4.0,-,17,4,4.25,Zalmi,1,v Sultans,Sharjah,24 Feb 2019
Wahab Riaz,4.0,-,17,4,4.25,Zalmi,1,v United,Karachi,27 Feb 2021
Rashid Khan,4.0,-,17,4,4.25,Qalandars,1,v Kings,Lahore,18 Feb 2022
Faheem Ashraf,3.0,-,18,4,6.00,United,1,v Gladiators,Abu Dhabi,05 Mar 2019
Shaheen Shah Afridi,4.0,-,18,4,4.50,Qalandars,2,v United,Lahore,23 Feb 2020
Imran Khalid,3.0,-,20,4,6.66,United,2,v Zalmi,Dubai (DICS),21 Feb 2016
Shadab Khan,4.0,-,20,4,5.00,United,1,v Qalandars,Karachi,05 Feb 2022
Sohail Tanvir,4.0,1,21,4,5.25,Gladiators,1,v United,Dubai (DICS),17 Feb 2019
Rashid Khan,4.0,-,21,4,5.25,Qalandars,2,v United,Rawalpindi,09 Mar 2023
Khurram Shahzad,4.0,-,22,4,5.50,Gladiators,2,v Kings,Lahore,20 Feb 2022
Abbas Afridi,3.0,-,22,4,7.33,Sultans,2,v United,Multan,19 Feb 2023
GD Elliott,3.0,-,23,4,7.66,Qalandars,1,v United,Dubai (DICS),11 Feb 2017
Umaid Asif,4.0,-,23,4,5.75,Zalmi,2,v United,Dubai (DICS),24 Feb 2018
Haris Rauf,4.0,-,23,4,5.75,Qalandars,2,v Kings,Dubai (DICS),16 Feb 2019
AJ Hosein,4.0,-,23,4,5.75,Gladiators,1,v Zalmi,Rawalpindi,08 Mar 2024
Dilbar Hussain,3.0,-,24,4,8.00,Qalandars,1,v Zalmi,Rawalpindi,28 Feb 2020
Rumman Raees,4.0,-,25,4,6.25,United,1,v Kings,Sharjah,01 Mar 2017
Mohammad Amir,4.0,-,25,4,6.25,Kings,2,v Sultans,Dubai (DICS),15 Feb 2019
Mohammad Hasnain,4.0,-,25,4,6.25,Gladiators,1,v United,Karachi,20 Feb 2020
L Gregory,3.0,-,25,4,8.33,Zalmi,2,v Qalandars,Rawalpindi,28 Feb 2020
Mohammad Amir,4.0,-,25,4,6.25,Kings,1,v Zalmi,Rawalpindi,02 Mar 2020
