,Quetta,Karachi,Peshawar,Islamabad,Lahore,Multan
Match # 1,1,0,0,0,0,0
Match # 2,1,1,0,0,0,0
Match # 3,1,1,1,0,0,0
Match # 4,2,1,1,0,0,0
Match # 5,2,1,2,0,0,0
Match # 6,2,1,2,1,0,0
Match # 7,3,1,2,1,0,0
Match # 8,3,1,2,1,1,0
Match # 9,3,1,2,2,1,0
Match # 10,3,1,3,2,1,0
Match # 11,4,1,3,2,1,0
Match # 12,4,2,3,2,1,0
Match # 13,4,2,4,2,1,0
Match # 14,5,2,4,2,1,0
Match # 15,5,2,4,2,2,0
Match # 16,5,2,4,3,2,0
Match # 17,5,2,5,3,2,0
Match # 18,6,2,5,3,2,0
Match # 19,6,2,6,3,2,0
Match # 20,6,2,6,4,2,0
Match # 21,7,2,6,4,2,0
Match # 22,7,2,6,5,2,0
Match # 23,7,2,6,6,2,0
Match # 24,7,2,6,7,2,0
Match # 25,7,2,6,8,2,0
Match # 26,7,2,7,8,2,0
Match # 27,7,2,7,8,3,0
Match # 28,8,2,7,8,3,0
Match # 29,8,2,8,8,3,0
Match # 30,8,2,8,9,3,0
Match # 31,8,2,8,9,4,0
Match # 32,8,3,8,9,4,0
Match # 33,9,3,8,9,4,0
Match # 34,9,3,8,10,4,0
Match # 35,9,4,8,10,4,0
Match # 36,9,4,8,10,5,0
Match # 37,10,4,8,10,5,0
Match # 38,10,4,9,10,5,0
Match # 39,10,4,9,11,5,0
Match # 40,10,5,9,11,5,0
Match # 41,10,5,10,11,5,0
Match # 42,10,6,10,11,5,0
Match # 43,11,6,10,11,5,0
Match # 44,11,7,10,11,5,0
Match # 45,11,7,11,11,5,0
Match # 46,11,7,12,11,5,0
Match # 47,11,7,12,11,5,1
Match # 48,11,8,12,11,5,1
Match # 49,11,8,12,11,5,2
Match # 50,11,8,13,11,5,2
Match # 51,12,8,13,11,5,2
Match # 52,12,8,13,12,5,2
Match # 53,12,9,13,12,5,2
Match # 54,12,10,13,12,5,2
Match # 55,13,10,13,12,5,2
Match # 56,13,10,14,12,5,2
Match # 57,13,10,14,13,5,2
Match # 58,13,10,14,13,5,3
Match # 59,13,10,15,13,5,3
Match # 60,13,10,15,14,5,3
Match # 61,13,10,15,14,5,4
Match # 62,14,10,15,14,5,4
Match # 63,14,10,15,15,5,4
Match # 64,15,10,15,15,5,4
Match # 65,15,10,15,15,6,4
Match # 66,15,10,15,16,6,4
Match # 67,15,11,15,16,6,4
Match # 68,16,11,15,16,6,4
Match # 69,16,11,15,16,7,4
Match # 70,16,11,15,17,7,4
Match # 71,16,11,15,17,8,4
Match # 72,16,11,16,17,8,4
Match # 73,16,11,16,18,8,4
Match # 74,16,11,17,18,8,4
Match # 75,16,12,17,18,8,4
Match # 76,16,12,17,19,8,4
Match # 77,16,12,18,19,8,4
Match # 78,16,12,19,19,8,4
Match # 79,16,12,19,20,8,4
Match # 80,16,12,19,21,8,4
Match # 81,16,13,19,21,8,4
Match # 82,17,13,19,21,8,4
Match # 83,17,13,19,21,8,5
Match # 84,17,13,19,21,9,5
Match # 85,18,13,19,21,9,5
Match # 86,18,13,20,21,9,5
Match # 87,19,13,20,21,9,5
Match # 88,19,13,21,21,9,5
Match # 89,19,13,21,21,10,5
Match # 90,19,13,21,22,10,5
Match # 91,20,13,21,22,10,5
