Player,Runs,Mins,Balls,4s,6s,SR,Team,Opposition,Ground,Match Date
JJ Roy,145*,90,63,20,5,230.15,Gladiators,v Zalmi,Rawalpindi,08 Mar 2023
CA Ingram,127*,-,59,12,8,215.25,Kings,v Gladiators,Sharjah,24 Feb 2019
RR Rossouw,121,87,51,12,8,237.25,Sultans,v Zalmi,Rawalpindi,10 Mar 2023
Usman Khan,120,56,43,12,9,279.06,Sultans,v Gladiators,Rawalpindi,11 Mar 2023
CS Delport,117*,-,60,13,6,195.00,United,v Qalandars,Karachi,09 Mar 2019
Sharjeel Khan,117,-,62,12,8,188.70,United,v Zalmi,Dubai (DICS),21 Feb 2016
MJ Guptill,117,102,67,12,5,174.62,Gladiators,v Kings,Karachi,18 Feb 2023
JJ Roy,116,77,57,11,8,203.50,Gladiators,v Qalandars,Karachi,07 Feb 2022
Babar Azam,115,102,65,15,3,176.92,Zalmi,v Gladiators,Rawalpindi,08 Mar 2023
Fakhar Zaman,115,96,57,8,8,201.75,Qalandars,v United,Rawalpindi,09 Mar 2023
CA Lynn,113*,-,55,12,8,205.45,Qalandars,v Sultans,Lahore,15 Mar 2020
Babar Azam,111*,100,63,14,2,176.19,Zalmi,v United,Lahore,26 Feb 2024
Mohammad Rizwan,110*,101,64,10,4,171.87,Sultans,v Kings,Multan,22 Feb 2023
Kamran Akmal,107*,-,61,11,7,175.40,Zalmi,v Qalandars,Sharjah,16 Mar 2018
Usman Khan,106*,88,59,10,5,179.66,Sultans,v Kings,Karachi,03 Mar 2024
Fakhar Zaman,106,-,60,12,4,176.66,Qalandars,v Kings,Karachi,30 Jan 2022
UT Khawaja,105*,-,56,13,3,187.50,United,v Zalmi,Abu Dhabi,17 Jun 2021
Sharjeel Khan,105,100,59,9,8,177.96,Kings,v United,Karachi,24 Feb 2021
HE van der Dussen,104*,95,52,7,6,200.00,Qalandars,v Zalmi,Lahore,25 Feb 2024
Kamran Akmal,104,-,65,6,7,160.00,Zalmi,v Kings,Dubai (DICS),03 Mar 2017
HC Brook,102*,87,49,10,5,208.16,Qalandars,v United,Lahore,19 Feb 2022
Kamran Akmal,101,-,55,13,4,183.63,Zalmi,v Gladiators,Karachi,22 Feb 2020
RR Rossouw,100*,-,44,10,6,227.27,Sultans,v Gladiators,Multan,29 Feb 2020
Usman Khan,100*,70,50,15,3,200.00,Sultans,v United,Rawalpindi,10 Mar 2024
BR Dunk,99*,-,40,3,12,247.50,Qalandars,v Kings,Lahore,08 Mar 2020
Ahmed Shehzad,99,-,57,8,6,173.68,Gladiators,v Kings,Karachi,10 Mar 2019
WCF Smeed,99,-,60,12,3,165.00,Gladiators,v Zalmi,Lahore,15 Feb 2022
Mohammad Hafeez,98*,-,57,7,7,171.92,Qalandars,v United,Lahore,23 Feb 2020
WCF Smeed,97,-,62,11,4,156.45,Gladiators,v Zalmi,Karachi,28 Jan 2022
Azam Khan,97,66,42,9,8,230.95,United,v Gladiators,Karachi,24 Feb 2023
Fakhar Zaman,96,100,45,3,10,213.33,Qalandars,v Zalmi,Lahore,26 Feb 2023
Usman Khan,96,91,55,11,2,174.54,Sultans,v Qalandars,Lahore,27 Feb 2024
L Ronchi,94*,-,39,12,5,241.02,United,v Kings,Dubai (DICS),18 Mar 2018
Fakhar Zaman,94,-,50,9,6,188.00,Qalandars,v Gladiators,Sharjah,14 Mar 2018
Umar Akmal,93,-,40,6,8,232.50,Qalandars,v Gladiators,Dubai (DICS),08 Feb 2016
BR Dunk,93,-,43,3,10,216.27,Qalandars,v Gladiators,Lahore,03 Mar 2020
Imad Wasim,92*,67,54,11,2,170.37,Kings,v United,Rawalpindi,03 Mar 2023
T Kohler-Cadmore,92,79,50,7,6,184.00,Zalmi,v Kings,Karachi,14 Feb 2023
SR Watson,91*,-,55,6,6,165.45,Gladiators,v Zalmi,Abu Dhabi,04 Mar 2019
Shadab Khan,91,70,42,5,9,216.66,United,v Sultans,Karachi,01 Feb 2022
SR Watson,90*,-,58,5,7,155.17,Gladiators,v Kings,Dubai (DICS),08 Mar 2018
Babar Azam,90*,94,60,13,1,150.00,Kings,v Sultans,Karachi,27 Feb 2021
C Munro,90*,-,36,12,5,250.00,United,v Gladiators,Abu Dhabi,11 Jun 2021
Babar Azam,90*,97,63,12,1,142.85,Kings,v Zalmi,Karachi,04 Feb 2022
KP Pietersen,88*,-,42,3,8,209.52,Gladiators,v Qalandars,Sharjah,18 Feb 2017
C Munro,88*,-,56,12,2,157.14,United,v Kings,Abu Dhabi,14 Jun 2021
Saud Shakeel,88*,100,65,5,4,135.38,Gladiators,v Qalandars,Karachi,10 Mar 2024
Kamran Akmal,88,-,48,6,6,183.33,Zalmi,v United,Dubai (DICS),09 Feb 2017
Shan Masood,88,91,58,6,4,151.72,Sultans,v Gladiators,Karachi,31 Jan 2022
Saim Ayub,88,89,55,8,4,160.00,Zalmi,v Qalandars,Lahore,25 Feb 2024
C Munro,87*,-,59,8,3,147.45,United,v Qalandars,Lahore,04 Mar 2020
Aamer Jamal,87,60,49,8,6,177.55,Zalmi,v United,Rawalpindi,04 Mar 2024
LJ Wright,86*,-,53,11,4,162.26,Gladiators,v United,Dubai (DICS),04 Feb 2016
MJ Guptill,86*,105,56,9,4,153.57,Gladiators,v Kings,Rawalpindi,06 Mar 2023
Kamran Akmal,86,-,48,10,5,179.16,Zalmi,v Kings,Karachi,11 Mar 2019
BJ Hodge,85*,-,45,6,6,188.88,Zalmi,v Kings,Dubai (DICS),17 Feb 2016
Sohaib Maqsood,85*,-,42,4,7,202.38,Sultans,v Zalmi,Dubai (DICS),06 Mar 2018
L Ronchi,85*,-,58,9,2,146.55,United,v Kings,Rawalpindi,01 Mar 2020
Babar Azam,85*,-,63,5,4,134.92,Kings,v Sultans,Abu Dhabi,10 Jun 2021
Azam Khan,85,81,45,6,7,188.88,United,v Zalmi,Lahore,17 Feb 2022
Mohammad Haris,85,86,54,11,2,157.40,Zalmi,v Qalandars,Lahore,17 Mar 2023
JM Vince,84,-,41,7,6,204.87,Sultans,v Qalandars,Sharjah,22 Feb 2019
JM Vince,84,87,55,9,3,152.72,Sultans,v Zalmi,Karachi,23 Feb 2021
C Munro,84,82,40,9,5,210.00,United,v Sultans,Rawalpindi,10 Mar 2024
Mohammad Rizwan,83*,108,54,7,3,153.70,Sultans,v Gladiators,Lahore,18 Feb 2022
Fakhar Zaman,83,88,54,8,4,153.70,Qalandars,v Kings,Karachi,28 Feb 2021
Shan Masood,83,-,50,14,1,166.00,Sultans,v Qalandars,Karachi,29 Jan 2022
Fakhar Zaman,82*,95,52,8,2,157.69,Qalandars,v Gladiators,Karachi,22 Feb 2021
Mohammad Rizwan,82*,-,56,9,2,146.42,Sultans,v Zalmi,Abu Dhabi,13 Jun 2021
AD Hales,82*,-,54,13,1,151.85,United,v Zalmi,Karachi,30 Jan 2022
LS Livingstone,82,-,43,6,6,190.69,Kings,v Sultans,Dubai (DICS),15 Feb 2019
Mohammad Rizwan,82,95,53,8,1,154.71,Sultans,v Zalmi,Karachi,05 Feb 2022
JJ Roy,82,92,64,11,-,128.12,Gladiators,v Kings,Lahore,20 Feb 2022
Mohammad Rizwan,82,93,59,9,3,138.98,Sultans,v Qalandars,Multan,21 Feb 2024
C Munro,82,69,47,8,4,174.46,United,v Kings,Karachi,28 Feb 2024
SR Watson,81*,-,55,6,4,147.27,Gladiators,v United,Dubai (DICS),17 Feb 2019
Sarfaraz Ahmed,81,63,40,12,1,202.50,Gladiators,v Zalmi,Karachi,26 Feb 2021
Usman Khan,81,64,50,10,3,162.00,Gladiators,v Sultans,Karachi,03 Mar 2021
Babar Azam,81,-,54,7,3,150.00,Kings,v United,Abu Dhabi,14 Jun 2021
Tamim Iqbal,80*,-,58,6,3,137.93,Zalmi,v United,Sharjah,12 Feb 2016
EJG Morgan,80*,-,57,8,3,140.35,Zalmi,v Kings,Dubai (DICS),10 Feb 2017
AD Hales,80*,-,48,6,5,166.66,Kings,v Qalandars,Lahore,08 Mar 2020
Imad Wasim,80*,89,47,7,4,170.21,Kings,v Zalmi,Karachi,14 Feb 2023
SR Watson,80,-,41,7,7,195.12,Gladiators,v Sultans,Multan,29 Feb 2020
Shadab Khan,80,63,51,4,6,156.86,United,v Zalmi,Rawalpindi,04 Mar 2024
Sharjeel Khan,79*,-,43,5,7,183.72,United,v Qalandars,Sharjah,10 Feb 2016
JL Denly,79*,-,46,9,4,171.73,Kings,v Zalmi,Lahore,21 Mar 2018
RR Hendricks,79*,84,54,7,3,146.29,Sultans,v Kings,Multan,18 Feb 2024
SR Watson,79,-,47,4,7,168.08,United,v Qalandars,Sharjah,10 Feb 2016
