Team,Score,Overs,RR,Inns,Opposition,Ground,Result,Match Date
Qalandars,59,10.2,5.70,1,v Zalmi,Dubai (DICS),lost,12 Feb 2017
Gladiators,73,12.1,6.00,2,v Sultans,Abu Dhabi,lost,16 Jun 2021
Qalandars,76,14.3,5.24,2,v Sultans,Lahore,lost,15 Mar 2023
Qalandars,78,15.1,5.14,1,v Zalmi,Dubai (DICS),lost,17 Feb 2019
United,82,15.2,5.34,2,v Kings,Sharjah,lost,1 Mar 2017
Qalandars,89,15.1,5.86,2,v Sultans,Abu Dhabi,lost,18 Jun 2021
Gladiators,90,16.3,5.45,2,v Zalmi,Lahore,lost,5 Mar 2017
United,90,13.5,6.50,2,v Qalandars,Lahore,lost,27 Feb 2023
Gladiators,98/9,20.0,4.90,1,v Qalandars,Lahore,lost,7 Mar 2020
Qalandars,100,17.2,5.76,1,v Zalmi,Sharjah,lost,3 Mar 2018
Sultans,101,16.3,6.12,2,v Kings,Karachi,lost,26 Feb 2023
Gladiators,102,15.4,6.51,1,v Sultans,Sharjah,lost,3 Mar 2018
United,105/7,20.0,5.25,1,v Sultans,Lahore,lost,20 Feb 2022
Gladiators,106,19.1,5.53,1,v Qalandars,Dubai (DICS),lost,27 Feb 2019
Gladiators,106,15.5,6.69,2,v Sultans,Karachi,lost,12 Mar 2024
United,107,15.1,7.05,2,v Qalandars,Rawalpindi,lost,9 Mar 2023
Kings,108/9,20.0,5.40,1,v Zalmi,Abu Dhabi,lost,15 Jun 2021
Kings,109/9,20.0,5.45,2,v Zalmi,Sharjah,lost,21 Feb 2019
Gladiators,110,18.5,5.84,1,v Sultans,Multan,lost,15 Feb 2023
Qalandars,110,18.5,5.84,2,v Kings,Lahore,lost,12 Mar 2023
Kings,111/9,20.0,5.55,1,v United,Dubai (DICS),lost,20 Feb 2016
Kings,113/8,20.0,5.65,2,v Gladiators,Dubai (DICS),lost,8 Mar 2018
Sultans,113,19.5,5.69,1,v United,Dubai (DICS),lost,25 Feb 2018
Kings,113,17.3,6.45,1,v Gladiators,Karachi,lost,29 Jan 2022
Sultans,114,19.4,5.79,1,v Qalandars,Dubai (DICS),lost,9 Mar 2018
Kings,116,19.5,5.84,2,v Qalandars,Dubai (DICS),lost,16 Feb 2019
Qalandars,117/6,20.0,5.85,1,v Zalmi,Dubai (DICS),lost,6 Feb 2016
United,117,19.1,6.10,1,v Gladiators,Sharjah,lost,11 Feb 2016
Kings,118/7,20.0,5.90,1,v Zalmi,Dubai (DICS),lost,10 Feb 2017
Sultans,118/7,20.0,5.90,1,v Kings,Abu Dhabi,lost,4 Mar 2019
Gladiators,118,19.1,6.15,1,v Kings,Rawalpindi,lost,6 Mar 2024
Qalandars,118,17.3,6.74,2,v Kings,Karachi,lost,19 Feb 2023
United,118,17.1,6.87,1,v Zalmi,Karachi,lost,27 Feb 2021
Qalandars,119/9,20.0,5.95,1,v Gladiators,Dubai (DICS),lost,24 Feb 2018
Gladiators,120,17.5,6.72,2,v Zalmi,Rawalpindi,lost,8 Mar 2024
United,121/9,20.0,6.05,2,v Zalmi,Dubai (DICS),lost,5 Feb 2016
United,121/9,20.0,6.05,1,v Qalandars,Sharjah,tied,2 Mar 2018
Sultans,121,20.0,6.05,1,v Gladiators,Dubai (DICS),lost,1 Mar 2019
Qalandars,121,19.4,6.15,2,v United,Sharjah,tied,2 Mar 2018
Gladiators,121,18.2,6.60,1,v Kings,Karachi,lost,20 Feb 2021
United,121,17.4,6.84,1,v Sultans,Dubai (DICS),lost,26 Feb 2019
Zalmi,123,18.3,6.64,1,v Sultans,Multan,lost,26 Feb 2020
Qalandars,124/7,20.0,6.20,1,v Zalmi,Abu Dhabi,lost,5 Mar 2019
Kings,124/5,20.0,6.20,1,v Sultans,Karachi,lost,27 Jan 2022
United,124,19.0,6.52,1,v Kings,Sharjah,lost,16 Mar 2018
Qalandars,124,18.2,6.76,2,v United,Abu Dhabi,lost,13 Jun 2021
Qalandars,125/8,20.0,6.25,1,v Kings,Dubai (DICS),lost,5 Feb 2016
United,125/7,20.0,6.25,1,v Sultans,Dubai (DICS),lost,16 Feb 2019
Sultans,125,19.4,6.35,2,v Kings,Dubai (DICS),lost,10 Mar 2018
Kings,126/9,20.0,6.30,1,v Gladiators,Sharjah,lost,13 Feb 2016
Kings,126,19.4,6.40,1,v United,Sharjah,won,1 Mar 2017
Zalmi,126,18.0,7.00,2,v United,Dubai (DICS),lost,21 Feb 2016
Qalandars,127/9,20.0,6.35,2,v Kings,Lahore,lost,18 Feb 2022
Qalandars,127,18.5,6.74,2,v United,Lahore,lost,4 Mar 2020
United,128/7,20.0,6.40,1,v Gladiators,Dubai (DICS),lost,4 Feb 2016
Kings,128/5,20.0,6.40,1,v United,Sharjah,lost,14 Feb 2016
Gladiators,128,20.0,6.40,1,v Zalmi,Dubai (DICS),lost,25 Feb 2017
Qalandars,128,18.4,6.85,2,v Gladiators,Dubai (DICS),lost,10 Feb 2017
Gladiators,128,15.5,8.08,2,v Sultans,Lahore,lost,18 Feb 2022
Gladiators,129,18.0,7.16,1,v Zalmi,Sharjah,lost,14 Feb 2016
Kings,130/9,20.0,6.50,2,v United,Dubai (DICS),lost,7 Feb 2016
Gladiators,130/9,20.0,6.50,2,v Kings,Dubai (DICS),lost,23 Feb 2018
Kings,130/8,20.0,6.50,2,v Sultans,Multan,lost,18 Feb 2024
Sultans,130,19.3,6.66,2,v Qalandars,Lahore,lost,11 Feb 2022
Zalmi,131/9,20.0,6.55,1,v Kings,Dubai (DICS),lost,25 Feb 2018
United,131/9,20.0,6.55,2,v Qalandars,Lahore,lost,19 Feb 2022
Gladiators,131/7,20.0,6.55,2,v Qalandars,Lahore,lost,2 Mar 2023
Gladiators,131,16.2,8.02,2,v Qalandars,Dubai (DICS),lost,8 Feb 2016
United,132/8,20.0,6.60,1,v Kings,Dubai (DICS),won,7 Feb 2016
Zalmi,132/9,20.0,6.60,2,v Gladiators,Dubai (DICS),lost,19 Feb 2016
Qalandars,132,18.3,7.13,2,v Kings,Dubai (DICS),lost,26 Feb 2018
Qalandars,133/5,20.0,6.65,1,v Kings,Dubai (DICS),lost,28 Feb 2019
Gladiators,133,20.0,6.65,1,v United,Abu Dhabi,lost,11 Jun 2021
Gladiators,133,19.3,6.82,1,v Zalmi,Dubai (DICS),won,19 Feb 2016
United,134/7,20.0,6.70,1,v Gladiators,Sharjah,lost,28 Feb 2018
Qalandars,134/7,20.0,6.70,1,v Kings,Karachi,lost,17 Nov 2020
Kings,134,17.0,7.88,2,v Sultans,Multan,lost,28 Feb 2020
Zalmi,135/7,20.0,6.75,1,v Gladiators,Dubai (DICS),lost,7 Feb 2016
Kings,135/9,20.0,6.75,2,v United,Karachi,lost,6 Feb 2022
Qalandars,135/9,20.0,6.75,2,v Sultans,Lahore,lost,23 Feb 2022
Gladiators,135/8,20.0,6.75,2,v Qalandars,Karachi,lost,21 Feb 2023
Gladiators,135,18.4,7.23,2,v United,Karachi,lost,15 Mar 2024
Gladiators,136/9,20.0,6.80,1,v Qalandars,Dubai (DICS),won,10 Feb 2017
Zalmi,136/9,20.0,6.80,1,v United,Sharjah,lost,18 Feb 2017
United,136/6,20.0,6.80,1,v Kings,Karachi,lost,14 Mar 2020
Gladiators,136/9,20.0,6.80,2,v Zalmi,Abu Dhabi,lost,12 Jun 2021
Qalandars,136,17.2,7.84,2,v Sultans,Dubai (DICS),lost,23 Feb 2018
United,137/5,20.0,6.85,2,v Zalmi,Sharjah,won,18 Feb 2017
Kings,137/8,20.0,6.85,2,v Zalmi,Sharjah,lost,15 Mar 2018
United,137/9,20.0,6.85,2,v Gladiators,Abu Dhabi,lost,5 Mar 2019
Qalandars,138/6,20.0,6.90,1,v Kings,Dubai (DICS),won,16 Feb 2019
Zalmi,138/8,20.0,6.90,1,v Gladiators,Karachi,lost,17 Mar 2019
Qalandars,138/8,20.0,6.90,1,v Sultans,Lahore,lost,21 Feb 2020
Kings,138/6,20.0,6.90,2,v Zalmi,Lahore,lost,13 Feb 2022
United,138/9,20.0,6.90,1,v Gladiators,Lahore,lost,22 Feb 2024
Sultans,138,19.3,7.07,2,v Qalandars,Lahore,lost,27 Feb 2022
United,138,17.5,7.73,2,v Sultans,Multan,lost,19 Feb 2023
Qalandars,140/8,20.0,7.00,1,v Sultans,Karachi,lost,11 Mar 2019
Zalmi,140/6,20.0,7.00,1,v Qalandars,Karachi,lost,21 Feb 2021
Zalmi,140,19.3,7.17,2,v Sultans,Lahore,lost,10 Feb 2022
Qalandars,140,18.0,7.77,2,v Gladiators,Abu Dhabi,lost,15 Jun 2021
Gladiators,141/8,20.0,7.05,1,v Zalmi,Sharjah,lost,1 Mar 2018
Kings,141/8,20.0,7.05,2,v Sultans,Karachi,tied,14 Nov 2020
Sultans,141/7,20.0,7.05,1,v Kings,Karachi,tied,14 Nov 2020
Gladiators,141/7,20.0,7.05,1,v Qalandars,Lahore,lost,13 Feb 2022
United,142/9,20.0,7.10,2,v Zalmi,Dubai (DICS),lost,24 Feb 2018
