Player,Span,Mat,Inns,Ct,Max,Ct/Inn
Babar Azam (IU/KK/PZ),2016-2024,90,89,47,4,0.528
KA Pollard (KK/MS/PZ),2017-2024,53,52,42,4,0.807
Mohammad Nawaz (KK/QG),2016-2024,84,84,39,3,0.464
Fakhar Zaman (LQ),2017-2024,84,84,38,2,0.452
Shadab Khan (IU),2017-2024,84,84,38,4,0.452
Iftikhar Ahmed (IU/KK/MS/PZ/QG),2016-2024,70,70,35,3,0.5
Faheem Ashraf (IU),2018-2024,72,72,31,2,0.43
Asif Ali (IU/PZ),2016-2024,82,82,31,2,0.378
Shoaib Malik (KK/MS/PZ),2016-2024,91,90,31,2,0.344
Mohammad Hafeez (LQ/PZ/QG),2016-2023,78,77,27,3,0.35
Shan Masood (KK/MS),2019-2024,53,52,26,2,0.5
RR Rossouw (MS/QG),2017-2024,84,83,26,2,0.313
Hasan Ali (IU/KK/PZ),2016-2024,82,81,25,2,0.308
Khushdil Shah (MS/PZ),2017-2024,59,58,24,2,0.413
Wahab Riaz (PZ),2016-2023,88,87,24,3,0.275
CJ Jordan (KK/MS/PZ),2017-2024,33,33,22,3,0.666
Umar Akmal (LQ/QG),2016-2023,43,40,22,2,0.55
JJ Roy (LQ/QG),2017-2024,38,38,21,3,0.552
Ahmed Shehzad (MS/QG),2016-2020,45,44,20,2,0.454
D Wiese (KK/LQ),2018-2024,53,53,20,2,0.377
AD Hales (IU/KK),2018-2024,44,44,19,3,0.431
Anwar Ali (KK/MS/QG),2016-2024,50,50,19,2,0.38
Shaheen Shah Afridi (LQ),2018-2024,71,71,19,2,0.267
Imad Wasim (IU/KK),2016-2024,90,89,19,2,0.213
Haris Rauf (LQ),2019-2024,57,57,18,2,0.315
BCJ Cutting (KK/PZ/QG),2020-2023,27,27,17,3,0.629
RS Bopara (KK/MS/PZ),2016-2021,39,37,17,4,0.459
DJG Sammy (PZ),2016-2020,49,48,17,2,0.354
Sohail Tanvir (KK/LQ/MS/QG),2016-2022,61,59,17,2,0.288
Hassan Khan (LQ/QG),2017-2022,28,28,16,3,0.571
Sohail Akhtar (LQ),2018-2022,44,44,16,2,0.363
JM Vince (KK/MS/QG),2016-2024,45,45,16,3,0.355
Irfan Khan (KK),2023-2024,17,17,15,3,0.882
TH David (LQ/MS),2021-2023,22,22,15,2,0.681
Imran Tahir (KK/MS),2018-2023,44,42,15,2,0.357
Shahid Afridi (KK/MS/PZ/QG),2016-2022,53,51,15,2,0.294
