Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Wahab Riaz (PZ),2016-2023,88,87,1973,328.5,3,2563,113,4/17,22.68,7.79,17.46,1,-
Hasan Ali (IU/KK/PZ),2016-2024,82,81,1852,308.4,2,2480,108,4/15,22.96,8.03,17.14,4,-
Shaheen Shah Afridi (LQ),2018-2024,71,71,1623,270.3,4,2166,103,5/4,21.02,8.00,15.75,3,2
Shadab Khan (IU),2017-2024,84,83,1804,300.4,1,2310,91,5/28,25.38,7.68,19.82,2,1
Faheem Ashraf (IU),2018-2024,72,70,1385,230.5,1,1944,78,6/19,24.92,8.42,17.75,1,1
Mohammad Amir (KK/QG),2016-2024,75,74,1658,276.2,6,2094,73,4/25,28.68,7.57,22.71,3,-
Mohammad Nawaz (KK/QG),2016-2024,84,83,1624,270.4,1,2063,72,4/13,28.65,7.62,22.55,1,-
Haris Rauf (LQ),2019-2024,57,57,1285,214.1,-,1950,66,4/23,29.54,9.10,19.46,1,-
Imad Wasim (IU/KK),2016-2024,90,86,1689,281.3,2,1989,63,5/23,31.57,7.06,26.80,-,1
Usama Mir (KK/MS),2016-2024,44,44,934,155.4,-,1279,59,6/40,21.67,8.21,15.83,-,1
Imran Tahir (KK/MS),2018-2023,44,42,936,156.0,2,1100,56,3/7,19.64,7.05,16.71,-,-
Sohail Tanvir (KK/LQ/MS/QG),2016-2022,61,59,1289,214.5,2,1705,55,4/13,31.00,7.93,23.43,2,-
Mohammad Hasnain (QG),2019-2024,39,39,857,142.5,2,1280,51,4/25,25.09,8.96,16.80,2,-
Rumman Raees (IU/MS),2016-2024,48,48,974,162.2,-,1289,48,4/25,26.85,7.94,20.29,1,-
Umaid Asif (KK/PZ/QG),2018-2023,47,47,1040,173.2,-,1459,48,4/23,30.39,8.41,21.66,1,-
Shahid Afridi (KK/MS/PZ/QG),2016-2022,53,51,1036,172.4,5,1246,47,5/7,26.51,7.21,22.04,-,1
Mohammad Irfan (IU/MS/PZ/QG),2016-2022,53,51,1155,192.3,3,1341,45,3/22,29.80,6.96,25.66,-,-
Rashid Khan (LQ),2021-2023,28,28,666,111.0,1,681,44,5/20,15.47,6.13,15.13,2,1
Zaman Khan (LQ),2022-2024,35,35,722,120.2,2,1057,44,4/16,24.02,8.78,16.40,2,-
Abbas Afridi (KK/MS),2021-2024,29,29,560,93.2,-,849,43,5/47,19.74,9.09,13.02,2,1
Mohammad Sami (IU),2016-2019,36,36,762,127.0,1,875,42,5/8,20.83,6.88,18.14,-,1
Usman Shinwari (KK/LQ/QG),2017-2022,39,38,792,132.0,-,1161,42,4/15,27.64,8.79,18.85,2,-
Naseem Shah (IU/QG),2020-2024,40,40,877,146.1,2,1150,41,5/20,28.04,7.86,21.39,1,1
CJ Jordan (KK/MS/PZ),2017-2024,33,33,708,118.0,-,976,40,3/26,24.40,8.27,17.70,-,-
Sohail Khan (KK/LQ/MS/PZ/QG),2016-2024,44,43,942,157.0,1,1392,40,3/23,34.80,8.86,23.55,-,-
Shahnawaz Dahani (MS),2021-2024,27,27,536,89.2,1,813,39,4/5,20.84,9.10,13.74,2,-
Salman Irshad (LQ/PZ),2018-2024,30,30,617,102.5,-,993,38,4/30,26.13,9.65,16.23,1,-
D Wiese (KK/LQ),2018-2024,53,52,877,146.1,-,1200,38,3/17,31.57,8.20,23.07,-,-
Mohammad Wasim (IU/QG),2021-2024,33,33,729,121.3,-,1184,37,4/31,32.00,9.74,19.70,1,-
Anwar Ali (KK/MS/QG),2016-2024,50,48,859,143.1,1,1305,36,3/33,36.25,9.11,23.86,-,-
Rahat Ali (LQ/PZ/QG),2018-2020,28,28,614,102.2,-,800,34,4/16,23.52,7.81,18.05,2,-
TS Mills (IU/KK/PZ/QG),2017-2024,28,27,602,100.2,-,828,34,3/20,24.35,8.25,17.70,-,-
SR Patel (IU/LQ),2018-2022,38,34,606,101.0,1,768,30,4/5,25.60,7.60,20.20,2,-
DJ Willey (MS),2022-2024,19,19,399,66.3,-,514,28,3/22,18.35,7.72,14.25,-,-
Mohammad Ilyas (KK/MS),2019-2023,28,26,458,76.2,1,711,28,3/27,25.39,9.31,16.35,-,-
Waqas Maqsood (IU/KK),2019-2022,20,20,421,70.1,-,605,27,4/35,22.40,8.62,15.59,1,-
Yasir Shah (LQ/PZ),2017-2020,27,27,571,95.1,-,692,26,4/7,26.61,7.27,21.96,1,-
Sameen Gul (MS/PZ),2018-2023,23,23,492,82.0,-,711,26,3/29,27.34,8.67,18.92,-,-
Junaid Khan (MS/PZ),2016-2020,27,25,552,92.0,1,780,26,3/24,30.00,8.47,21.23,-,-
Arshad Iqbal (KK/PZ),2020-2023,24,24,500,83.2,2,769,25,3/16,30.76,9.22,20.00,-,-
Khushdil Shah (MS/PZ),2017-2024,59,30,406,67.4,1,483,24,4/35,20.12,7.13,16.91,1,-
Aamer Yamin (KK/LQ/PZ),2016-2023,34,33,584,97.2,2,866,24,3/17,36.08,8.89,24.33,-,-
Ihsanullah (MS),2022-2023,14,14,294,49.0,2,370,23,5/12,16.08,7.55,12.78,-,1
Mir Hamza (KK/QG),2016-2024,20,19,378,63.0,-,544,23,4/27,23.65,8.63,16.43,1,-
