location,median_price,median_ppsqft,median_area_sqft,median_bedrooms,affordability_yrs,total_listings
DHA Defence,47000000.0,15610.651974288336,2668.05,4.0,178.03030303030303,5902
Jamshed Town,22500000.0,10713.19253137435,2178.0,3.0,85.22727272727273,988
North Karachi,9000000.0,8417.508417508418,1306.8,4.0,34.09090909090909,2353
Gulshan-e-Iqbal Town,13000000.0,7482.229704451926,1687.95,3.0,49.24242424242424,3167
North Nazimabad,13500000.0,7384.9838262255125,1742.4,3.0,51.13636363636363,2374
Scheme 33,11500000.0,6630.058464189246,1306.8,3.0,43.56060606060606,2506
Federal B Area,8000000.0,6597.709513661486,1306.8,3.0,30.303030303030305,1978
Gulistan-e-Jauhar,9500000.0,6427.91551882461,1579.05,3.0,35.984848484848484,4678
Bahria Town Karachi,13000000.0,5968.778696051423,2178.0,3.0,49.24242424242424,7603
Nazimabad,7500000.0,5749.191519942508,1334.025,3.0,28.40909090909091,1259
